"Chromosome" "chromStart" "chromEnd" "Marker"
"77" "chr4" "2498833" "2498834" "M27787"
"681" "chr4" "2541140" "2541141" "M8074"
"70" "chr4" "3318950" "3318951" "M9295"
"78" "chr4" "3319036" "3319037" "M29750"
"79" "chr4" "3424100" "3424101" "M30105"
"85" "chr4" "3599120" "3599121" "M38062"
"81" "chr4" "6208489" "6208490" "M31761"
"74" "chr4" "7633064" "7633065" "M18118"
"66" "chr4" "8501395" "8501396" "M5031"
"86" "chr4" "9018958" "9018959" "M40016"
"80" "chr4" "9594702" "9594703" "M30469"
"63" "chr4" "10871017" "10871018" "M2223"
"73" "chr4" "12104942" "12104943" "M14633"
"62" "chr4" "12453691" "12453692" "M1298"
"72" "chr4" "12828895" "12828896" "M13109"
"65" "chr4" "13155062" "13155063" "M3839"
"82" "chr4" "13156482" "13156483" "M33853"
"71" "chr4" "14608132" "14608133" "M10390"
"84" "chr4" "14844894" "14844895" "M36210"
"671" "chr4" "15156486" "15156487" "M6548"
"69" "chr4" "15634346" "15634347" "M8904"
"75" "chr4" "16204526" "16204527" "M21079"
"951" "chr5" "317313" "317314" "M25645"
"92" "chr5" "634074" "634075" "M21905"
"89" "chr5" "2318013" "2318014" "M13811"
"106" "chr5" "2495178" "2495179" "M44423"
"102" "chr5" "2627687" "2627688" "M36411"
"99" "chr5" "2665508" "2665509" "M32254"
"98" "chr5" "2711567" "2711568" "M29490"
"100" "chr5" "4143745" "4143746" "M34367"
"105" "chr5" "5054103" "5054104" "M42204"
"87" "chr5" "5222163" "5222164" "M10176"
"88" "chr5" "5604726" "5604727" "M11170"
"941" "chr5" "6072919" "6072920" "M23878"
"91" "chr5" "6281028" "6281029" "M19185"
"104" "chr5" "10347878" "10347879" "M40259"
"93" "chr5" "12970831" "12970832" "M23295"
"90" "chr5" "13021709" "13021710" "M14443"
"101" "chr5" "13916523" "13916524" "M34884"
"96" "chr5" "14862600" "14862601" "M26291"
"97" "chr5" "15867219" "15867220" "M28596"
"103" "chr5" "16046066" "16046067" "M36787"
"108" "chr6" "166840" "166841" "M9601"
"122" "chr6" "2121915" "2121916" "M36878"
"107" "chr6" "2463369" "2463370" "M6504"
"112" "chr6" "2543435" "2543436" "M19420"
"124" "chr6" "2992465" "2992466" "M45176"
"113" "chr6" "3520149" "3520150" "M21984"
"110" "chr6" "4151050" "4151051" "M10891"
"1161" "chr6" "5158629" "5158630" "M30656"
"109" "chr6" "5261668" "5261669" "M10510"
"123" "chr6" "7470684" "7470685" "M43114"
"1171" "chr6" "10909323" "10909324" "M30660"
"114" "chr6" "12189207" "12189208" "M29569"
"115" "chr6" "13706032" "13706033" "M30292"
"118" "chr6" "14337017" "14337018" "M31012"
"120" "chr6" "14433149" "14433150" "M33891"
"119" "chr6" "14436297" "14436298" "M32028"
"121" "chr6" "14475058" "14475059" "M35589"
"111" "chr6" "14747474" "14747475" "M16179"
"125" "chr7" "1456717" "1456718" "M437"
"126" "chr7" "1475074" "1475075" "M5437"
"133" "chr7" "3560029" "3560030" "M19009"
"1371" "chr7" "4825958" "4825959" "M30472"
"139" "chr7" "5113524" "5113525" "M44329"
"127" "chr7" "6128656" "6128657" "M6773"
"132" "chr7" "7344964" "7344965" "M18979"
"135" "chr7" "7378092" "7378093" "M19708"
"134" "chr7" "7380241" "7380242" "M19135"
"138" "chr7" "7850651" "7850652" "M42519"
"1361" "chr7" "8773769" "8773770" "M21398"
"131" "chr7" "9609374" "9609375" "M18489"
"129" "chr7" "10386171" "10386172" "M9060"
"128" "chr7" "13839451" "13839452" "M7136"
"130" "chr7" "14295774" "14295775" "M10697"
"146" "chr8" "743414" "743415" "M15617"
"161" "chr8" "950838" "950839" "M39105"
"141" "chr8" "1058729" "1058730" "M4220"
"152" "chr8" "1120372" "1120373" "M24940"
"145" "chr8" "1989340" "1989341" "M15172"
"149" "chr8" "2845762" "2845763" "M17927"
"147" "chr8" "3007235" "3007236" "M15718"
"148" "chr8" "3203835" "3203836" "M17054"
"142" "chr8" "3255493" "3255494" "M9046"
"160" "chr8" "6801863" "6801864" "M37368"
"157" "chr8" "8423497" "8423498" "M30262"
"155" "chr8" "8426077" "8426078" "M28801"
"151" "chr8" "9902193" "9902194" "M23227"
"1541" "chr8" "10519331" "10519332" "M27216"
"159" "chr8" "11671920" "11671921" "M37211"
"156" "chr8" "11751145" "11751146" "M29321"
"143" "chr8" "11904060" "11904061" "M10822"
"158" "chr8" "12849849" "12849850" "M35812"
"1531" "chr8" "13801331" "13801332" "M25438"
"140" "chr8" "13806347" "13806348" "M56"
"144" "chr8" "13889022" "13889023" "M13973"
"150" "chr8" "14072786" "14072787" "M18510"
"162" "chr9" "1142862" "1142863" "M696"
"172" "chr9" "3064413" "3064414" "M34004"
"174" "chr9" "4426255" "4426256" "M39219"
"164" "chr9" "4532609" "4532610" "M10814"
"163" "chr9" "5660033" "5660034" "M3164"
"173" "chr9" "8436188" "8436189" "M38147"
"170" "chr9" "12014989" "12014990" "M24410"
"171" "chr9" "12019039" "12019040" "M30182"
"167" "chr9" "12743885" "12743886" "M15842"
"165" "chr9" "12754233" "12754234" "M11199"
"166" "chr9" "13284178" "13284179" "M12350"
"168" "chr9" "14943709" "14943710" "M17083"
"169" "chr9" "14943795" "14943796" "M21663"
"197" "chr10" "352567" "352568" "M37522"
"190" "chr10" "461719" "461720" "M29120"
"199" "chr10" "1156524" "1156525" "M43646"
"175" "chr10" "1265836" "1265837" "M991"
"188" "chr10" "1379473" "1379474" "M18980"
"195" "chr10" "1707667" "1707668" "M34610"
"180" "chr10" "2541348" "2541349" "M10430"
"181" "chr10" "2717387" "2717388" "M11622"
"179" "chr10" "2948321" "2948322" "M10409"
"201" "chr10" "2948407" "2948408" "M44679"
"1771" "chr10" "3350766" "3350767" "M7665"
"200" "chr10" "3422793" "3422794" "M43767"
"198" "chr10" "4244124" "4244125" "M38821"
"183" "chr10" "5269405" "5269406" "M15069"
"185" "chr10" "5656047" "5656048" "M15513"
"1931" "chr10" "5942373" "5942374" "M32284"
"196" "chr10" "6074577" "6074578" "M35345"
"187" "chr10" "6470188" "6470189" "M16850"
"182" "chr10" "8804412" "8804413" "M12965"
"191" "chr10" "9573318" "9573319" "M31998"
"184" "chr10" "9640780" "9640781" "M15463"
"189" "chr10" "12524881" "12524882" "M19126"
"194" "chr10" "12567057" "12567058" "M34175"
"1781" "chr10" "12693217" "12693218" "M7790"
"186" "chr10" "13186927" "13186928" "M16297"
"176" "chr10" "13878439" "13878440" "M3318"
"1921" "chr10" "14197476" "14197477" "M32168"
"2211" "chr11" "50548" "50549" "M36782"
"226" "chr11" "335843" "335844" "M38604"
"218" "chr11" "505788" "505789" "M36258"
"209" "chr11" "588161" "588162" "M18462"
"233" "chr11" "1594684" "1594685" "M42368"
"202" "chr11" "1645314" "1645315" "M8676"
"212" "chr11" "1650573" "1650574" "M24178"
"211" "chr11" "2238435" "2238436" "M19866"
"228" "chr11" "2415238" "2415239" "M41004"
"206" "chr11" "2415324" "2415325" "M13443"
"217" "chr11" "2606505" "2606506" "M35034"
"208" "chr11" "3836220" "3836221" "M17222"
"214" "chr11" "4163946" "4163947" "M26884"
"225" "chr11" "5751243" "5751244" "M37857"
"216" "chr11" "6162158" "6162159" "M34453"
"224" "chr11" "7481617" "7481618" "M37842"
"220" "chr11" "8954338" "8954339" "M36640"
"236" "chr11" "10687340" "10687341" "M45201"
"205" "chr11" "10693203" "10693204" "M12726"
"227" "chr11" "10878775" "10878776" "M38740"
"232" "chr11" "10935528" "10935529" "M42333"
"2221" "chr11" "11279415" "11279416" "M36991"
"234" "chr11" "11320605" "11320606" "M43602"
"207" "chr11" "12021411" "12021412" "M16299"
"229" "chr11" "12315313" "12315314" "M41238"
"204" "chr11" "12318153" "12318154" "M9422"
"219" "chr11" "12318239" "12318240" "M36266"
"210" "chr11" "12822108" "12822109" "M18637"
"231" "chr11" "12837696" "12837697" "M41939"
"235" "chr11" "12837782" "12837783" "M44600"
"230" "chr11" "13080127" "13080128" "M41377"
"215" "chr11" "13096361" "13096362" "M31771"
"203" "chr11" "13281230" "13281231" "M8961"
"223" "chr11" "13713064" "13713065" "M37179"
"213" "chr11" "13753406" "13753407" "M24869"
"248" "chr12" "130986" "130987" "M24036"
"243" "chr12" "370956" "370957" "M15843"
"245" "chr12" "1144138" "1144139" "M21364"
"2591" "chr12" "1180812" "1180813" "M42365"
"250" "chr12" "3388937" "3388938" "M26490"
"241" "chr12" "3647470" "3647471" "M8427"
"249" "chr12" "3667333" "3667334" "M26106"
"2581" "chr12" "3927630" "3927631" "M39771"
"238" "chr12" "5904959" "5904960" "M1377"
"240" "chr12" "5940407" "5940408" "M2636"
"244" "chr12" "5966859" "5966860" "M18318"
"247" "chr12" "6078480" "6078481" "M22905"
"254" "chr12" "7374680" "7374681" "M36660"
"242" "chr12" "7920545" "7920546" "M8953"
"261" "chr12" "8261404" "8261405" "M43687"
"251" "chr12" "8408944" "8408945" "M31950"
"237" "chr12" "8670902" "8670903" "M102"
"239" "chr12" "8873910" "8873911" "M2348"
"260" "chr12" "8981428" "8981429" "M43556"
"253" "chr12" "9012768" "9012769" "M35962"
"256" "chr12" "9012854" "9012855" "M38572"
"262" "chr12" "10409254" "10409255" "M45528"
"252" "chr12" "10917072" "10917073" "M34378"
"246" "chr12" "11405500" "11405501" "M21560"
"255" "chr12" "11852513" "11852514" "M38307"
"257" "chr12" "13940022" "13940023" "M39698"
"264" "chr13" "1292547" "1292548" "M3438"
"289" "chr13" "1307901" "1307902" "M41274"
"270" "chr13" "1318647" "1318648" "M17240"
"267" "chr13" "1343893" "1343894" "M16467"
"272" "chr13" "1343979" "1343980" "M19439"
"275" "chr13" "1376139" "1376140" "M20566"
"263" "chr13" "2060394" "2060395" "M1227"
"280" "chr13" "4774987" "4774988" "M25623"
"273" "chr13" "6879908" "6879909" "M20412"
"283" "chr13" "7693253" "7693254" "M30246"
"268" "chr13" "7752272" "7752273" "M16589"
"276" "chr13" "8166736" "8166737" "M22570"
"266" "chr13" "8909208" "8909209" "M13623"
"271" "chr13" "9428903" "9428904" "M19027"
"265" "chr13" "10457676" "10457677" "M8519"
"284" "chr13" "10534193" "10534194" "M30291"
"281" "chr13" "10540217" "10540218" "M25977"
"277" "chr13" "10553947" "10553948" "M23881"
"288" "chr13" "11018506" "11018507" "M35714"
"278" "chr13" "11039277" "11039278" "M24267"
"282" "chr13" "11072295" "11072296" "M29191"
"2871" "chr13" "11153253" "11153254" "M35239"
"285" "chr13" "11369096" "11369097" "M30905"
"269" "chr13" "11464238" "11464239" "M16678"
"274" "chr13" "11770110" "11770111" "M20443"
"2861" "chr13" "11894270" "11894271" "M33548"
"279" "chr13" "12076672" "12076673" "M25431"
"303" "chr14" "707701" "707702" "M17814"
"295" "chr14" "1085454" "1085455" "M8971"
"307" "chr14" "1660133" "1660134" "M29776"
"3151" "chr14" "2129187" "2129188" "M41370"
"309" "chr14" "2580670" "2580671" "M32904"
"297" "chr14" "2906965" "2906966" "M11333"
"294" "chr14" "3118901" "3118902" "M8174"
"291" "chr14" "4024328" "4024329" "M2616"
"3161" "chr14" "5018141" "5018142" "M41962"
"292" "chr14" "5279698" "5279699" "M3188"
"293" "chr14" "5294454" "5294455" "M3615"
"298" "chr14" "5465916" "5465917" "M11427"
"305" "chr14" "6003314" "6003315" "M23748"
"308" "chr14" "6720569" "6720570" "M32068"
"311" "chr14" "6822043" "6822044" "M36712"
"310" "chr14" "8444296" "8444297" "M35560"
"317" "chr14" "10345370" "10345371" "M45094"
"290" "chr14" "10347327" "10347328" "M949"
"314" "chr14" "11229916" "11229917" "M41022"
"300" "chr14" "11260332" "11260333" "M14825"
"306" "chr14" "11481413" "11481414" "M29072"
"304" "chr14" "11548109" "11548110" "M20213"
"312" "chr14" "12033204" "12033205" "M36778"
"296" "chr14" "12969327" "12969328" "M10644"
"313" "chr14" "13094328" "13094329" "M38911"
"299" "chr14" "13648283" "13648284" "M13697"
"301" "chr14" "13653903" "13653904" "M16657"
"302" "chr14" "13811701" "13811702" "M16807"
"330" "chr15" "747387" "747388" "M30009"
"325" "chr15" "1263138" "1263139" "M13891"
"329" "chr15" "1263224" "1263225" "M25941"
"331" "chr15" "1739326" "1739327" "M33074"
"321" "chr15" "3113619" "3113620" "M11681"
"319" "chr15" "3155369" "3155370" "M4738"
"334" "chr15" "4376633" "4376634" "M38537"
"322" "chr15" "8917573" "8917574" "M11723"
"320" "chr15" "9216965" "9216966" "M7990"
"327" "chr15" "9339075" "9339076" "M17048"
"333" "chr15" "10246181" "10246182" "M37837"
"328" "chr15" "10252556" "10252557" "M23134"
"323" "chr15" "10375504" "10375505" "M12512"
"324" "chr15" "10542104" "10542105" "M13758"
"326" "chr15" "10726091" "10726092" "M14664"
"335" "chr15" "11017844" "11017845" "M40649"
"318" "chr15" "11128619" "11128620" "M4002"
"332" "chr15" "12195889" "12195890" "M34343"
"336" "chr15" "12921088" "12921089" "M43325"
"344" "chr16" "884676" "884677" "M17315"
"352" "chr16" "885913" "885914" "M38996"
"354" "chr16" "2646523" "2646524" "M41971"
"348" "chr16" "3183896" "3183897" "M33565"
"340" "chr16" "3585454" "3585455" "M2369"
"353" "chr16" "4035239" "4035240" "M40778"
"349" "chr16" "4407984" "4407985" "M37978"
"339" "chr16" "4421786" "4421787" "M1654"
"337" "chr16" "5078670" "5078671" "M1369"
"342" "chr16" "6034557" "6034558" "M7270"
"347" "chr16" "6174432" "6174433" "M26133"
"343" "chr16" "7333950" "7333951" "M12647"
"338" "chr16" "7436929" "7436930" "M1425"
"350" "chr16" "8437121" "8437122" "M38130"
"341" "chr16" "8511605" "8511606" "M3043"
"355" "chr16" "10151506" "10151507" "M43791"
"351" "chr16" "10178480" "10178481" "M38491"
"3461" "chr16" "10368484" "10368485" "M23533"
"3451" "chr16" "11674312" "11674313" "M22287"
"361" "chr17" "906395" "906396" "M8624"
"357" "chr17" "1455941" "1455942" "M3513"
"3671" "chr17" "1484594" "1484595" "M26194"
"363" "chr17" "1637031" "1637032" "M14949"
"372" "chr17" "1681092" "1681093" "M35931"
"371" "chr17" "2045669" "2045670" "M33857"
"362" "chr17" "2307175" "2307176" "M12234"
"376" "chr17" "2319922" "2319923" "M42246"
"370" "chr17" "2951377" "2951378" "M30138"
"360" "chr17" "4097752" "4097753" "M5194"
"3661" "chr17" "4099472" "4099473" "M23026"
"373" "chr17" "4187604" "4187605" "M38050"
"364" "chr17" "4955796" "4955797" "M16245"
"359" "chr17" "5228765" "5228766" "M4917"
"358" "chr17" "5438553" "5438554" "M3759"
"368" "chr17" "5683871" "5683872" "M28319"
"374" "chr17" "8657596" "8657597" "M39484"
"356" "chr17" "9146222" "9146223" "M407"
"365" "chr17" "10149174" "10149175" "M21812"
"369" "chr17" "10238500" "10238501" "M29286"
"375" "chr17" "10784922" "10784923" "M40120"
"379" "chr18" "145890" "145891" "M7450"
"377" "chr18" "380734" "380735" "M3103"
"393" "chr18" "435592" "435593" "M37276"
"386" "chr18" "712163" "712164" "M20182"
"392" "chr18" "1421468" "1421469" "M36727"
"378" "chr18" "2041667" "2041668" "M6699"
"399" "chr18" "2467980" "2467981" "M42992"
"382" "chr18" "2714881" "2714882" "M17439"
"381" "chr18" "3661540" "3661541" "M14884"
"385" "chr18" "5008885" "5008886" "M19190"
"389" "chr18" "5140937" "5140938" "M26076"
"397" "chr18" "5814902" "5814903" "M41086"
"396" "chr18" "6038836" "6038837" "M40497"
"395" "chr18" "6531251" "6531252" "M38875"
"394" "chr18" "6842756" "6842757" "M37934"
"3871" "chr18" "6842842" "6842843" "M23570"
"390" "chr18" "7113398" "7113399" "M30057"
"391" "chr18" "7731403" "7731404" "M33742"
"398" "chr18" "7846461" "7846462" "M41651"
"380" "chr18" "8483015" "8483016" "M11291"
"383" "chr18" "10090978" "10090979" "M17839"
"3881" "chr18" "10131934" "10131935" "M23961"
"384" "chr18" "11240375" "11240376" "M19150"
"407" "chr19" "604508" "604509" "M24052"
"409" "chr19" "897797" "897798" "M25542"
"4101" "chr19" "1362301" "1362302" "M26544"
"406" "chr19" "2007751" "2007752" "M23673"
"404" "chr19" "2774924" "2774925" "M12578"
"400" "chr19" "2966253" "2966254" "M1635"
"413" "chr19" "3127293" "3127294" "M28259"
"415" "chr19" "3373246" "3373247" "M32984"
"421" "chr19" "3595097" "3595098" "M42376"
"414" "chr19" "3641735" "3641736" "M32146"
"402" "chr19" "3915651" "3915652" "M4741"
"405" "chr19" "4848087" "4848088" "M16342"
"4111" "chr19" "5753231" "5753232" "M27607"
"417" "chr19" "5932604" "5932605" "M34424"
"418" "chr19" "5933673" "5933674" "M35981"
"419" "chr19" "6178652" "6178653" "M36906"
"420" "chr19" "6540556" "6540557" "M39347"
"412" "chr19" "7006969" "7006970" "M28183"
"408" "chr19" "8323677" "8323678" "M24851"
"401" "chr19" "8617675" "8617676" "M1665"
"416" "chr19" "9582916" "9582917" "M33590"
"403" "chr19" "9598178" "9598179" "M6764"
"427" "chr20" "1641830" "1641831" "M23455"
"433" "chr20" "3408921" "3408922" "M42819"
"426" "chr20" "3666686" "3666687" "M21810"
"425" "chr20" "4257628" "4257629" "M12783"
"432" "chr20" "4474462" "4474463" "M41586"
"423" "chr20" "5889563" "5889564" "M7255"
"422" "chr20" "6044359" "6044360" "M4153"
"430" "chr20" "6179401" "6179402" "M37256"
"429" "chr20" "8413329" "8413330" "M30973"
"434" "chr20" "8468572" "8468573" "M43900"
"428" "chr20" "8660530" "8660531" "M23846"
"424" "chr20" "8695535" "8695536" "M10253"
"431" "chr20" "9153900" "9153901" "M38457"
"440" "chr21" "186560" "186561" "M20555"
"437" "chr21" "585876" "585877" "M8167"
"4351" "chr21" "4455243" "4455244" "M7725"
"4361" "chr21" "5440873" "5440874" "M7948"
"441" "chr21" "6171410" "6171411" "M23515"
"443" "chr21" "6958721" "6958722" "M30960"
"442" "chr21" "7150962" "7150963" "M27365"
"439" "chr21" "7151048" "7151049" "M20337"
"438" "chr21" "7719048" "7719049" "M20065"
"444" "chr21" "8649903" "8649904" "M36050"
"458" "chr22" "405952" "405953" "M36469"
"447" "chr22" "2349106" "2349107" "M6949"
"452" "chr22" "2349106" "2349107" "M17149"
"453" "chr22" "2349192" "2349193" "M18934"
"451" "chr22" "3019988" "3019989" "M11969"
"446" "chr22" "3087960" "3087961" "M6388"
"450" "chr22" "4084023" "4084024" "M9489"
"449" "chr22" "4285029" "4285030" "M8764"
"445" "chr22" "4603878" "4603879" "M2973"
"454" "chr22" "5730518" "5730519" "M24697"
"4601" "chr22" "6273659" "6273660" "M42091"
"457" "chr22" "6772664" "6772665" "M33352"
"456" "chr22" "7267597" "7267598" "M28688"
"4591" "chr22" "7772060" "7772061" "M36546"
"462" "chr22" "8267140" "8267141" "M44057"
"461" "chr22" "8930278" "8930279" "M42137"
"455" "chr22" "8991443" "8991444" "M28299"
"448" "chr22" "9171684" "9171685" "M8363"
"470" "chr23" "152052" "152053" "M11619"
"467" "chr23" "1075194" "1075195" "M9977"
"463" "chr23" "1293486" "1293487" "M368"
"481" "chr23" "3305567" "3305568" "M39302"
"4751" "chr23" "3606957" "3606958" "M27611"
"482" "chr23" "4504820" "4504821" "M41355"
"472" "chr23" "4507459" "4507460" "M18902"
"483" "chr23" "4937702" "4937703" "M41686"
"478" "chr23" "5567450" "5567451" "M29031"
"4741" "chr23" "5942386" "5942387" "M21320"
"477" "chr23" "6012773" "6012774" "M28000"
"469" "chr23" "6848831" "6848832" "M11595"
"464" "chr23" "6871169" "6871170" "M2487"
"473" "chr23" "6986538" "6986539" "M19361"
"468" "chr23" "6990484" "6990485" "M10718"
"476" "chr23" "7074186" "7074187" "M27990"
"471" "chr23" "7282130" "7282131" "M13499"
"479" "chr23" "7427237" "7427238" "M37056"
"466" "chr23" "7547770" "7547771" "M3957"
"480" "chr23" "7625739" "7625740" "M38978"
"465" "chr23" "8308466" "8308467" "M2593"
"499" "chr24" "208032" "208033" "M35142"
"498" "chr24" "331305" "331306" "M33136"
"500" "chr24" "331305" "331306" "M35848"
"494" "chr24" "1260635" "1260636" "M26980"
"497" "chr24" "1358355" "1358356" "M33013"
"501" "chr24" "2748000" "2748001" "M40222"
"490" "chr24" "2782115" "2782116" "M9825"
"491" "chr24" "3825058" "3825059" "M15097"
"4861" "chr24" "4960732" "4960733" "M2981"
"492" "chr24" "5405568" "5405569" "M15878"
"484" "chr24" "5638861" "5638862" "M405"
"489" "chr24" "5782322" "5782323" "M8835"
"493" "chr24" "5842111" "5842112" "M16938"
"488" "chr24" "5999529" "5999530" "M7659"
"4871" "chr24" "6590842" "6590843" "M5942"
"485" "chr24" "7665434" "7665435" "M1877"
"496" "chr24" "7694120" "7694121" "M31505"
"495" "chr24" "7793113" "7793114" "M27435"
"5071" "chr25" "108103" "108104" "M14307"
"518" "chr25" "321366" "321367" "M44516"
"512" "chr25" "325959" "325960" "M26402"
"510" "chr25" "1321737" "1321738" "M17867"
"502" "chr25" "1454540" "1454541" "M7787"
"514" "chr25" "1870996" "1870997" "M29650"
"517" "chr25" "2527771" "2527772" "M36638"
"505" "chr25" "3597081" "3597082" "M9037"
"509" "chr25" "3681375" "3681376" "M16865"
"516" "chr25" "3808895" "3808896" "M34673"
"515" "chr25" "4577503" "4577504" "M33254"
"508" "chr25" "4777510" "4777511" "M16162"
"513" "chr25" "5222887" "5222888" "M28738"
"511" "chr25" "5454082" "5454083" "M19064"
"504" "chr25" "5579493" "5579494" "M8487"
"503" "chr25" "5631840" "5631841" "M8239"
"5061" "chr25" "7212728" "7212729" "M9529"
"527" "chr26" "531714" "531715" "M38085"
"522" "chr26" "673273" "673274" "M16910"
"519" "chr26" "943473" "943474" "M356"
"524" "chr26" "1609453" "1609454" "M33377"
"525" "chr26" "3278668" "3278669" "M33519"
"521" "chr26" "3564359" "3564360" "M12296"
"526" "chr26" "4040957" "4040958" "M37202"
"523" "chr26" "5119039" "5119040" "M31268"
"520" "chr26" "6714182" "6714183" "M9935"
"531" "chr27" "1937049" "1937050" "M27781"
"534" "chr27" "3185769" "3185770" "M38713"
"5291" "chr27" "3610389" "3610390" "M21661"
"535" "chr27" "3696900" "3696901" "M45315"
"533" "chr27" "4559817" "4559818" "M36173"
"528" "chr27" "4879023" "4879024" "M14852"
"532" "chr27" "5186517" "5186518" "M34726"
"5301" "chr27" "5658740" "5658741" "M27087"
"539" "chr28" "743785" "743786" "M16856"
"540" "chr28" "2169861" "2169862" "M18523"
"543" "chr28" "2856287" "2856288" "M40771"
"537" "chr28" "2928547" "2928548" "M13144"
"542" "chr28" "3845764" "3845765" "M29935"
"538" "chr28" "4651558" "4651559" "M16827"
"541" "chr28" "4784987" "4784988" "M25250"
"536" "chr28" "5558751" "5558752" "M7863"
"545" "chr29" "561653" "561654" "M14240"
"547" "chr29" "1347043" "1347044" "M30039"
"544" "chr29" "1541991" "1541992" "M13504"
"546" "chr29" "1558853" "1558854" "M21672"
