"","Chromosome","Start","End"
"142","chr1","2694716","2697531"
"143","chr1","2708940","2711641"
"144","chr1","2713557","2730852"
"145","chr1","2745497","2745919"
"146","chr1","2751850","2767455"
"147","chr1","2770131","2773678"
"148","chr1","2779566","2780580"
"149","chr1","2789780","2790706"
"150","chr1","2792282","2796114"
"151","chr1","2831293","2836820"
"152","chr1","2842853","2848453"
"153","chr1","2881583","2884584"
"154","chr1","2899068","2901217"
"155","chr1","2909446","2912748"
"156","chr1","2913862","2914572"
"157","chr1","2922964","2933467"
"158","chr1","2936846","2939534"
"159","chr1","2949756","2951680"
"160","chr1","2958654","2960216"
"161","chr1","2965088","2976411"
"162","chr1","2979289","2979742"
"163","chr1","2981089","2981487"
"164","chr1","2998796","3003897"
"165","chr1","3006360","3008777"
"166","chr1","3013595","3015518"
"167","chr1","3026680","3032523"
"168","chr1","3043567","3049440"
"169","chr1","3049857","3051656"
"170","chr1","3059111","3061931"
"171","chr1","3086024","3090183"
"172","chr1","3092207","3097581"
"173","chr1","3098773","3102616"
"174","chr1","3110573","3114229"
"175","chr1","3122041","3146872"
"176","chr1","3148100","3150720"
"177","chr1","3167882","3170140"
"178","chr1","3176552","3180163"
"179","chr1","3182158","3191405"
"180","chr1","3195597","3197710"
"181","chr1","3198690","3199823"
"182","chr1","3203327","3203742"
"183","chr1","3218641","3223115"
"184","chr1","3223238","3223936"
"185","chr1","3228444","3230286"
"186","chr1","3233996","3234421"
"187","chr1","3235811","3239353"
"188","chr1","3242251","3255405"
"189","chr1","3273198","3275690"
"190","chr1","3279130","3280974"
"191","chr1","3291442","3291750"
"192","chr1","3295196","3305214"
"193","chr1","3321126","3324810"
"194","chr1","3324956","3327037"
"195","chr1","3582325","3587578"
"196","chr1","3647623","3647913"
"197","chr1","3650859","3653023"
"198","chr1","3667301","3671010"
"199","chr1","3673600","3675762"
"200","chr1","3676846","3681602"
"201","chr1","3682407","3684729"
"202","chr1","3686528","3686929"
"203","chr1","3688527","3689080"
"204","chr1","3719089","3720398"
"205","chr1","3755910","3756591"
"206","chr1","3802029","3804340"
"207","chr1","3805072","3808770"
"208","chr1","3815909","3819051"
"209","chr1","3822499","3825136"
"210","chr1","3841907","3846029"
"211","chr1","3850694","3856285"
"212","chr1","3860326","3868594"
"213","chr1","3871209","3873619"
"214","chr1","3950833","3956860"
"215","chr1","3962067","3966346"
"216","chr1","3968614","3973941"
"217","chr1","3982906","3983169"
"218","chr1","4066837","4067208"
"219","chr1","4069335","4071474"
"220","chr1","4077249","4080689"
"221","chr1","4081174","4084307"
"222","chr1","4098029","4101149"
"223","chr1","4153182","4157036"
"224","chr1","4168758","4175933"
"225","chr1","4201959","4202810"
"226","chr1","4204868","4209251"
"227","chr1","4222332","4223194"
"228","chr1","4244257","4246705"
"229","chr1","4250394","4251234"
"230","chr1","4255308","4259989"
"231","chr1","4288010","4297031"
"232","chr1","4312449","4315062"
"233","chr1","4317984","4321150"
"234","chr1","4325056","4331565"
"235","chr1","4344727","4351168"
"236","chr1","4351522","4353838"
"237","chr1","4357246","4362393"
"238","chr1","4367767","4369305"
"239","chr1","4382837","4383747"
"240","chr1","4395157","4397504"
"241","chr1","4399101","4401760"
"242","chr1","4488277","4491597"
"243","chr1","4696285","4702459"
"244","chr1","4704004","4705917"
"245","chr1","4709758","4712304"
"246","chr1","4726792","4727211"
"247","chr1","4727838","4735287"
"248","chr1","4756448","4760972"
"249","chr1","4767086","4771419"
"250","chr1","4781695","4783641"
"251","chr1","4786390","4792266"
"252","chr1","4795008","4799910"
"253","chr1","4809611","4815204"
"254","chr1","4821225","4823198"
"255","chr1","4851976","4854033"
"256","chr1","4862478","4869425"
"257","chr1","4873607","4880331"
"258","chr1","4906967","4910514"
"259","chr1","4923823","4934219"
"260","chr1","4944503","4946247"
"261","chr1","4955360","4958468"
"262","chr1","4964347","4965003"
"263","chr1","4987431","4991082"
"264","chr1","4993817","4995172"
"265","chr1","5003809","5007094"
"266","chr1","5019248","5021212"
"267","chr1","5029495","5030405"
"268","chr1","5030510","5038107"
"269","chr1","5039011","5088850"
"270","chr1","5096199","5097073"
"271","chr1","5099879","5102098"
"272","chr1","5109278","5110249"
"273","chr1","5127085","5128065"
"274","chr1","5136161","5139964"
"275","chr1","5149204","5151204"
"276","chr1","5166431","5174048"
"277","chr1","5202575","5206862"
"278","chr1","5236046","5241976"
"279","chr1","5277388","5281414"
"280","chr1","5285579","5292120"
"281","chr1","5299059","5303378"
"282","chr1","5313767","5316418"
"283","chr1","5325924","5328863"
"284","chr1","5329591","5339242"
"285","chr1","5398040","5400379"
"286","chr1","5416962","5437964"
"287","chr1","5439173","5439604"
"288","chr1","5453525","5453848"
"289","chr1","5476119","5477628"
"290","chr1","5492440","5495386"
"291","chr1","5500315","5501712"
"292","chr1","5514381","5515698"
"293","chr1","5517281","5519600"
"294","chr1","5523739","5525958"
"295","chr1","5558359","5562745"
"296","chr1","5566988","5568403"
"297","chr1","5573146","5574531"
"298","chr1","5591458","5592903"
"299","chr1","5611132","5612520"
"300","chr1","5615209","5620949"
"301","chr1","5640592","5642425"
"302","chr1","5645529","5646890"
"303","chr1","5663851","5664831"
"304","chr1","5670120","5670362"
"305","chr1","5689718","5693227"
"306","chr1","5743326","5744843"
"307","chr1","5744939","5745324"
"308","chr1","5748067","5752492"
"309","chr1","5760968","5761604"
"310","chr1","5772546","5778205"
"311","chr1","5783673","5787090"
"312","chr1","5808948","5810315"
"313","chr1","5871317","5872792"
"314","chr1","5874210","5882329"
"315","chr1","5898492","5900814"
"316","chr1","5900880","5904750"
"317","chr1","5906050","5907819"
"318","chr1","5917174","5921433"
"319","chr1","5924340","5928154"
"320","chr1","5932999","5933622"
"321","chr1","5934838","5937785"
"322","chr1","5942094","5942705"
"323","chr1","5952329","5952925"
"324","chr1","5963172","5963684"
"325","chr1","5964376","5969084"
"326","chr1","5972919","5973902"
"327","chr1","5975902","5977101"
"328","chr1","5983208","5985193"
"329","chr1","6049308","6057667"
"330","chr1","6082647","6086972"
"331","chr1","6119618","6122472"
"332","chr1","6123177","6127504"
"333","chr1","6133720","6144645"
"334","chr1","6187242","6191570"
"335","chr1","6255922","6256992"
"336","chr1","6318684","6327624"
"337","chr1","6332988","6333419"
"338","chr1","6336313","6339027"
"339","chr1","6341976","6414159"
"340","chr1","6429679","6430576"
"341","chr1","6431212","6435236"
"342","chr1","6439164","6440931"
"343","chr1","6465210","6468509"
"344","chr1","6497543","6499376"
"345","chr1","6500222","6506386"
"346","chr1","6515583","6519146"
"347","chr1","6521665","6522312"
"348","chr1","6568250","6570742"
"349","chr1","6571757","6583757"
"350","chr1","6606857","6611892"
"351","chr1","6631004","6632569"
"352","chr1","6646125","6647990"
"353","chr1","6655327","6655737"
"354","chr1","6710696","6720014"
"355","chr1","6721735","6724411"
"356","chr1","6728383","6731233"
"357","chr1","6732675","6734225"
"358","chr1","6737591","6740053"
"359","chr1","6750634","6753064"
"360","chr1","6764219","6765757"
"361","chr1","6802716","6803039"
"362","chr1","6805578","6808045"
"363","chr1","6815935","6818804"
"364","chr1","6820010","6821566"
"365","chr1","6825050","6825493"
"366","chr1","6834773","6836089"
"367","chr1","6840660","6843038"
"368","chr1","6846384","6848283"
"369","chr1","6867712","6868451"
"370","chr1","6941015","6944133"
"371","chr1","6970653","6971925"
"372","chr1","6976918","6988666"
"373","chr1","6994631","6998118"
"374","chr1","7011193","7027130"
"375","chr1","7035871","7039187"
"376","chr1","7062726","7064997"
"377","chr1","7076575","7079564"
"378","chr1","7130259","7130733"
"379","chr1","7138557","7140377"
"380","chr1","7154854","7155324"
"381","chr1","7159752","7163252"
"382","chr1","7179990","7181037"
"383","chr1","7213593","7218171"
"384","chr1","7219139","7224172"
"385","chr1","7235787","7236977"
"386","chr1","7244353","7244864"
"387","chr1","7267170","7292053"
"388","chr1","7300888","7302696"
"389","chr1","7337930","7338840"
"390","chr1","7351317","7353076"
"391","chr1","7378073","7380304"
"392","chr1","7386716","7389220"
"393","chr1","7391851","7407379"
"394","chr1","7413548","7415365"
"395","chr1","7436901","7437176"
"396","chr1","7455068","7455770"
"397","chr1","7494242","7495081"
"398","chr1","7498046","7501023"
"399","chr1","7502951","7504730"
"400","chr1","7511523","7515127"
"401","chr1","7541619","7546931"
"402","chr1","7572737","7590832"
"403","chr1","7613474","7613713"
"404","chr1","7691465","7692974"
"405","chr1","7695046","7697160"
"406","chr1","7701273","7702895"
"407","chr1","7716454","7719904"
"408","chr1","7740708","7741573"
"409","chr1","7744028","7745738"
"410","chr1","7745870","7747478"
"411","chr1","7753807","7758779"
"412","chr1","7764049","7765446"
"413","chr1","7767419","7769173"
"414","chr1","7774411","7776983"
"415","chr1","7781548","7783506"
"416","chr1","7801148","7801576"
"417","chr1","7812318","7814747"
"418","chr1","7844689","7845171"
"419","chr1","7858703","7864852"
"420","chr1","7870354","7872478"
"421","chr1","7953979","7955817"
"422","chr1","7966369","7971450"
"423","chr1","7983494","7986645"
"424","chr1","7987240","7992092"
"425","chr1","7992630","7996659"
"426","chr1","8003604","8009399"
"427","chr1","8010320","8012905"
"428","chr1","8030252","8032697"
"429","chr1","8033259","8036314"
"430","chr1","8060062","8060485"
"431","chr1","8074036","8074659"
"432","chr1","8074836","8076462"
"433","chr1","8078236","8078967"
"434","chr1","8087829","8092974"
"435","chr1","8103409","8104110"
"436","chr1","8107307","8108089"
"437","chr1","8127329","8128512"
"438","chr1","8131544","8132650"
"439","chr1","8134427","8138778"
"440","chr1","8144360","8147966"
"441","chr1","8273968","8279229"
"442","chr1","8387145","8390337"
"443","chr1","8426904","8428179"
"444","chr1","8428876","8430739"
"445","chr1","8443309","8445154"
"446","chr1","8471381","8472400"
"447","chr1","8472471","8472812"
"448","chr1","8492965","8497657"
"449","chr1","8517573","8521374"
"450","chr1","8529995","8531826"
"451","chr1","8537100","8538939"
"452","chr1","8572747","8574653"
"453","chr1","8580255","8582962"
"454","chr1","8590574","8597415"
"455","chr1","8608898","8609641"
"456","chr1","8625643","8626435"
"457","chr1","8626950","8629850"
"458","chr1","8635012","8636786"
"459","chr1","8639448","8640239"
"460","chr1","8646724","8651377"
"461","chr1","8655975","8658490"
"462","chr1","8659684","8661117"
"463","chr1","8669307","8671602"
"464","chr1","8715304","8715793"
"465","chr1","8721488","8725032"
"466","chr1","8729288","8732444"
"467","chr1","8735161","8739960"
"468","chr1","8756160","8756363"
"469","chr1","8869875","8873055"
"470","chr1","8878958","8884914"
"471","chr1","8887600","8893191"
"472","chr1","9083073","9084377"
"473","chr1","9144949","9145846"
"474","chr1","9164533","9168660"
"475","chr1","9322738","9323241"
"476","chr1","9338429","9342581"
"477","chr1","9354297","9360345"
"478","chr1","9360577","9369432"
"479","chr1","9369758","9370489"
"480","chr1","9386187","9389587"
"481","chr1","9443924","9448809"
"482","chr1","9456300","9456902"
"483","chr1","9462749","9470746"
"484","chr1","9473504","9476761"
"485","chr1","9509158","9515191"
"486","chr1","9525399","9538480"
"487","chr1","9639336","9642406"
"488","chr1","9719594","9720189"
"489","chr1","9720258","9724856"
"490","chr1","9772249","9772542"
"491","chr1","9833320","9838990"
"492","chr1","9840862","9841618"
"493","chr1","9843896","9844348"
"494","chr1","9868097","9871269"
"495","chr1","9876370","9878467"
"496","chr1","10088905","10089831"
"497","chr1","10136315","10142839"
"498","chr1","10219446","10219853"
"499","chr1","10220125","10227225"
"500","chr1","10284574","10290931"
"501","chr1","10341250","10341994"
"502","chr1","10382811","10384769"
"503","chr1","10397383","10397911"
"504","chr1","10439008","10439796"
"505","chr1","10443084","10443863"
"506","chr1","10448592","10449368"
"507","chr1","10501439","10501939"
"508","chr1","10503328","10510978"
"509","chr1","10514167","10514475"
"510","chr1","10514536","10514838"
"511","chr1","10514996","10516635"
"512","chr1","10537413","10538252"
"513","chr1","10557828","10558283"
"514","chr1","10565955","10567198"
"515","chr1","10570237","10572975"
"516","chr1","10616513","10618484"
"517","chr1","10655724","10681560"
"518","chr1","10773784","10799560"
"519","chr1","10802155","10807237"
"520","chr1","10818322","10819221"
"521","chr1","10820694","10823921"
"522","chr1","10835172","10839784"
"523","chr1","10897863","10902122"
"524","chr1","10903988","10905346"
"525","chr1","10924584","10925269"
"526","chr1","10938652","10939625"
"527","chr1","10941519","10942378"
"528","chr1","10943810","10945365"
"529","chr1","10945827","10949946"
"530","chr1","10976883","10980317"
"531","chr1","10996845","11002697"
"532","chr1","11012470","11013039"
"533","chr1","11020783","11027368"
"534","chr1","11051411","11064932"
"535","chr1","11077375","11080141"
"536","chr1","11080267","11081453"
"537","chr1","11081583","11084776"
"538","chr1","11090492","11091357"
"539","chr1","11098565","11099492"
"540","chr1","11104015","11105014"
"541","chr1","11188129","11191272"
"542","chr1","11193948","11199565"
"543","chr1","11272346","11286023"
"544","chr1","11299097","11303580"
"545","chr1","11346423","11347974"
"546","chr1","11352483","11353346"
"547","chr1","11427192","11429335"
"548","chr1","11459944","11469453"
"549","chr1","11584776","11587438"
"550","chr1","11629076","11630727"
"551","chr1","11661520","11664018"
"552","chr1","11677636","11679232"
"553","chr1","11694580","11695389"
"554","chr1","11698567","11699061"
"555","chr1","11766350","11775071"
"556","chr1","11870047","11873331"
"557","chr1","11877260","11879176"
"558","chr1","11924212","11924616"
"559","chr1","11942339","11945170"
"560","chr1","12031575","12032183"
"561","chr1","12144050","12145991"
"562","chr1","12149283","12150295"
"563","chr1","12203299","12207117"
"564","chr1","12209096","12211568"
"565","chr1","12214674","12215819"
"566","chr1","12218858","12219238"
"567","chr1","12224557","12225030"
"568","chr1","12248934","12250409"
"569","chr1","12267253","12267536"
"570","chr1","12269533","12271645"
"571","chr1","12273319","12273708"
"572","chr1","12279040","12279513"
"573","chr1","12309301","12325250"
"574","chr1","12328985","12331716"
"575","chr1","12341273","12342185"
"576","chr1","12400572","12403332"
"577","chr1","12408620","12409699"
"578","chr1","12413614","12420113"
"579","chr1","12423814","12432657"
"580","chr1","12433610","12436812"
"581","chr1","12439074","12442256"
"582","chr1","12453916","12461324"
"583","chr1","12465016","12466472"
"584","chr1","12477447","12483405"
"585","chr1","12484421","12599192"
"586","chr1","12619613","12620644"
"587","chr1","12652818","12656257"
"588","chr1","12736768","12738204"
"589","chr1","12772570","12773998"
"590","chr1","12774548","12778481"
"591","chr1","12794882","12797495"
"592","chr1","13000952","13002256"
"593","chr1","13004217","13007408"
"594","chr1","13008434","13011662"
"595","chr1","13013362","13016221"
"596","chr1","13019366","13020887"
"597","chr1","13022284","13027253"
"598","chr1","13027787","13029188"
"599","chr1","13030431","13031715"
"600","chr1","13032787","13033328"
"601","chr1","13037713","13039990"
"602","chr1","13046447","13046863"
"603","chr1","13047818","13049690"
"604","chr1","13058906","13062272"
"605","chr1","13063029","13064197"
"606","chr1","13069148","13072925"
"607","chr1","13075044","13080901"
"608","chr1","13081343","13082665"
"609","chr1","13084217","13084504"
"610","chr1","13084880","13087446"
"611","chr1","13176999","13181341"
"612","chr1","13186520","13191906"
"613","chr1","13195604","13199832"
"614","chr1","13201140","13202190"
"615","chr1","13203524","13203990"
"616","chr1","13204034","13205217"
"617","chr1","13205930","13207941"
"618","chr1","13208405","13208918"
"619","chr1","13209690","13210891"
"620","chr1","13211996","13212519"
"621","chr1","13215244","13217567"
"622","chr1","13218511","13220144"
"623","chr1","13466507","13467621"
"624","chr1","13543057","13546706"
"625","chr1","13591665","13594588"
"626","chr1","13715498","13717602"
"627","chr1","13722612","13725784"
"628","chr1","13752084","13752542"
"629","chr1","13754788","13755489"
"630","chr1","13756904","13763523"
"631","chr1","13783802","13786555"
"632","chr1","13831380","13832084"
"633","chr1","13840584","13840829"
"634","chr1","13857720","13858208"
"635","chr1","13888260","13889189"
"636","chr1","13890100","13890976"
"637","chr1","13894210","13894608"
"638","chr1","13907141","13907800"
"639","chr1","13920471","13922520"
"640","chr1","13995585","13999170"
"641","chr1","14104637","14105280"
"642","chr1","14124231","14125058"
"643","chr1","14131572","14137091"
"644","chr1","14396167","14397210"
"645","chr1","14466335","14467479"
"646","chr1","14491861","14494133"
"647","chr1","14495521","14498510"
"648","chr1","14541489","14541710"
"649","chr1","14761396","14762431"
"650","chr1","14814202","14814426"
"651","chr1","14821549","14829588"
"652","chr1","14950955","14954334"
"653","chr1","15197928","15198152"
"654","chr1","15498513","15498955"
"655","chr1","15693398","15693751"
"656","chr1","15891278","15892176"
"657","chr1","15896610","15896976"
"658","chr1","15956829","15957053"
"659","chr1","15973749","15975827"
"660","chr1","15977156","15982244"
"661","chr1","16028376","16030864"
"662","chr1","16079685","16081685"
"663","chr1","16082357","16084834"
"664","chr1","16091611","16093238"
"665","chr1","16094140","16094559"
"666","chr1","16100481","16107231"
"667","chr1","16127501","16127731"
"668","chr1","16144516","16150379"
"669","chr1","16175770","16182686"
"670","chr1","16183861","16189270"
"671","chr1","16211193","16212582"
"672","chr1","16219088","16220736"
"673","chr1","16256901","16259617"
"674","chr1","16274493","16275230"
"675","chr1","16285098","16285808"
"676","chr1","16316787","16318246"
"677","chr1","16428442","16430701"
"678","chr1","16437245","16445757"
"679","chr1","16534595","16534849"
"680","chr1","16541402","16586266"
"681","chr1","16586834","16594764"
"682","chr1","16633145","16637228"
"683","chr1","16639400","16641339"
"684","chr1","16650979","16655847"
"685","chr1","16662578","16674355"
"686","chr1","16682176","16789161"
"687","chr1","16791458","16791949"
"688","chr1","16799418","16819499"
"689","chr1","16838675","16841317"
"690","chr1","16842681","16845804"
"691","chr1","16854017","16856619"
"692","chr1","16858102","16859955"
"693","chr1","16860777","16861657"
"694","chr1","16863539","16867319"
"695","chr1","16886402","16890775"
"696","chr1","16893648","16894193"
"697","chr1","16900035","16900403"
"698","chr1","16932094","16936939"
"699","chr1","16940768","16943504"
"700","chr1","16943967","16953767"
"701","chr1","16953816","16956640"
"702","chr1","16958404","16960179"
"703","chr1","16973769","16976060"
"704","chr1","17079378","17081914"
"705","chr1","17150860","17154065"
"706","chr1","17154621","17161761"
"707","chr1","17454203","17456421"
"708","chr1","17509624","17573126"
"709","chr1","17574624","17575340"
"710","chr1","17575782","17577369"
"711","chr1","17579301","17584010"
"712","chr1","17584590","17586583"
"713","chr1","17587269","17590550"
"714","chr1","17595404","17596072"
"715","chr1","17623645","17624752"
"716","chr1","17652699","17654993"
"717","chr1","17816236","17817688"
"718","chr1","17897366","17900312"
"719","chr1","17900707","17900992"
"720","chr1","17901804","17903479"
"721","chr1","17907726","17912288"
"722","chr1","17945972","17948255"
"723","chr1","17949972","17954223"
"724","chr1","17958309","17967677"
"725","chr1","17971738","17973307"
"726","chr1","18131470","18132294"
"727","chr1","18301436","18304639"
"728","chr1","18327252","18328253"
"729","chr1","18346652","18351980"
"730","chr1","18372838","18375273"
"731","chr1","18376851","18378311"
"732","chr1","18387416","18388389"
"733","chr1","18406544","18411027"
"734","chr1","18428450","18459196"
"735","chr1","18704986","18723345"
"736","chr1","18723536","18738868"
"737","chr1","18745611","18749429"
"738","chr1","18772928","18776834"
"739","chr1","18804183","18805235"
"740","chr1","18808247","18809480"
"741","chr1","18810455","18811494"
"742","chr1","18814499","18816383"
"743","chr1","18817664","18821526"
"744","chr1","18861721","18869571"
"745","chr1","18870124","18873670"
"746","chr1","18892791","18895196"
"747","chr1","18898863","18900812"
"748","chr1","19043121","19045073"
"749","chr1","19072132","19073295"
"750","chr1","19105376","19105630"
"751","chr1","19113931","19115094"
"752","chr1","19251347","19253860"
"753","chr1","19261976","19262194"
"754","chr1","19270216","19270719"
"755","chr1","19276501","19277136"
"756","chr1","19277253","19277963"
"757","chr1","19278469","19278693"
"758","chr1","19279053","19279349"
"759","chr1","19284381","19284734"
"760","chr1","19284962","19285623"
"761","chr1","19292976","19293787"
"762","chr1","19295605","19296150"
"763","chr1","19296185","19296811"
"764","chr1","19297317","19297541"
"765","chr1","19297901","19298197"
"766","chr1","19298563","19298916"
"767","chr1","19299144","19299344"
"768","chr1","19319144","19320609"
"769","chr1","19321494","19321967"
"770","chr1","19322155","19322865"
"771","chr1","19323084","19323595"
"772","chr1","19323955","19324251"
"773","chr1","19324617","19324970"
"774","chr1","19325215","19325490"
"775","chr1","19329588","19331347"
"776","chr1","19333211","19333606"
"777","chr1","19334070","19334396"
"778","chr1","19334578","19335089"
"779","chr1","19335449","19335712"
"780","chr1","19340198","19346241"
"781","chr1","19351853","19353620"
"782","chr1","19609626","19611861"
"783","chr1","19623682","19624365"
"182100","chr2","18921","21896"
"183100","chr2","21927","22604"
"184100","chr2","23021","25118"
"185100","chr2","32511","34541"
"186100","chr2","37369","38966"
"187100","chr2","39975","43248"
"188100","chr2","44101","44733"
"189100","chr2","48313","55589"
"190100","chr2","56585","60547"
"191100","chr2","62517","64767"
"192100","chr2","65609","65869"
"193100","chr2","76878","78229"
"194100","chr2","79804","83320"
"195100","chr2","84035","86635"
"196100","chr2","91704","94391"
"197100","chr2","106766","108870"
"198100","chr2","113560","115623"
"199100","chr2","139300","141150"
"200100","chr2","142757","143056"
"201100","chr2","143285","146473"
"202100","chr2","146710","147048"
"203100","chr2","148741","151415"
"204100","chr2","154500","155434"
"205100","chr2","175373","175845"
"206100","chr2","197541","202458"
"207100","chr2","213318","213838"
"208100","chr2","214186","216450"
"209100","chr2","217118","220806"
"210100","chr2","228184","231427"
"211100","chr2","232083","242121"
"212100","chr2","242525","245665"
"213100","chr2","250176","255144"
"21433","chr2","255741","256757"
"21510","chr2","256897","257202"
"21610","chr2","257878","261502"
"21710","chr2","262201","265752"
"21810","chr2","269158","270390"
"21910","chr2","296458","298843"
"22010","chr2","306995","307360"
"22110","chr2","309183","309603"
"22210","chr2","309631","312956"
"22310","chr2","318967","319972"
"22410","chr2","321342","321887"
"22510","chr2","321960","322187"
"22610","chr2","324143","324685"
"22710","chr2","327862","330648"
"22810","chr2","332872","336866"
"22910","chr2","338017","339944"
"23010","chr2","341749","342341"
"23110","chr2","356730","361516"
"23210","chr2","366003","366248"
"23310","chr2","367700","368068"
"23410","chr2","369957","375443"
"23510","chr2","385976","392332"
"23610","chr2","392333","394945"
"23710","chr2","403658","407533"
"23810","chr2","412689","415184"
"23910","chr2","416907","418624"
"24010","chr2","420604","422233"
"24110","chr2","425610","426421"
"24210","chr2","429232","438458"
"24310","chr2","439511","446239"
"24410","chr2","458284","459188"
"24510","chr2","462759","464579"
"24610","chr2","490862","492679"
"24710","chr2","500112","503390"
"24810","chr2","513510","520034"
"24910","chr2","630943","632248"
"25010","chr2","761313","762233"
"25110","chr2","795108","798224"
"25210","chr2","807883","811004"
"25310","chr2","829965","835070"
"25410","chr2","849203","850894"
"25510","chr2","852828","853265"
"25610","chr2","858581","859102"
"25710","chr2","880926","881564"
"25810","chr2","882415","883872"
"25910","chr2","884594","889455"
"26010","chr2","953337","954623"
"26110","chr2","956138","962928"
"26210","chr2","970258","974090"
"26310","chr2","974939","978481"
"26410","chr2","982262","982897"
"26510","chr2","984223","996564"
"26610","chr2","1000885","1010939"
"26710","chr2","1012625","1013676"
"26810","chr2","1016061","1016829"
"26910","chr2","1148667","1155698"
"27010","chr2","1194313","1196301"
"27110","chr2","1198520","1201848"
"27210","chr2","1203000","1203584"
"27310","chr2","1203683","1205595"
"27410","chr2","1214449","1214988"
"27510","chr2","1263430","1264038"
"27610","chr2","1299385","1300268"
"27710","chr2","1316768","1317757"
"27810","chr2","1327150","1330469"
"27910","chr2","1426016","1428505"
"28010","chr2","1460191","1465984"
"28110","chr2","1471760","1474472"
"28210","chr2","1513177","1516161"
