Chromosome,Start,End
chr1,1027168,1027335
chr1,1043293,1043461
chr1,1046260,1046427
chr1,4048266,4048429
chr1,5718424,5718586
chr1,1027231,1027400
chr1,1046323,1046492
chr1,4053446,4053617
chr1,4061120,4061285
chr1,7305909,7306065
chr1,7310439,7310602
chr1,11374366,11374197
chr1,1011059,1011225
chr1,1035795,1035961
chr1,1061100,1061266
chr1,4041845,4042012
chr1,4046767,4046934
chr1,4055374,4055541
chr1,5709209,5709376
chr1,5710384,5710551
chr1,5729089,5729256
chr1,7306639,7306806
chr1,11597192,11597028
chr1,11597299,11597130
chr1,11597833,11597666
chr1,11604433,11604266
chr1,1033961,1034126
chr1,4018988,4019156
chr1,4019264,4019428
chr1,4045197,4045358
chr1,4048034,4048202
chr1,5724411,5724572
chr1,7317415,7317584
chr1,7325368,7325537
chr1,11596831,11596668
chr1,1006598,1006766
chr1,1032803,1032969
chr1,1044986,1045154
chr1,1045405,1045571
chr1,1048973,1049142
chr1,2658747,2658908
chr1,5721110,5721276
chr1,7321909,7322075
chr1,11377249,11377083
chr1,1016463,1016630
chr1,1020871,1021030
chr1,1026004,1026179
chr1,1031590,1031749
chr1,1033668,1033835
chr1,1048637,1048805
chr1,1059241,1059409
chr1,1060241,1060409
chr1,4048999,4049163
chr1,1037956,1038125
chr1,1049353,1049519
chr1,1059997,1060160
chr1,2658708,2658874
chr1,4019409,4019574
chr1,4041866,4042031
chr1,4048126,4048286
chr1,4048850,4049019
chr1,4055102,4055269
chr1,4059187,4059352
chr1,5717879,5718045
chr1,7323546,7323715
chr1,11360090,11359921
chr1,1010380,1010544
chr1,1040036,1040184
chr1,1050334,1050501
chr1,4019009,4019176
chr1,4019430,4019597
chr1,4041719,4041886
chr1,4048873,4049040
chr1,4051092,4051259
chr1,4051721,4051888
chr1,4055248,4055415
chr1,4059082,4059247
chr1,5707281,5707448
chr1,5707834,5707986
chr1,5717131,5717298
chr1,5718735,5718902
chr1,7320221,7320388
chr1,11609120,11608953
chr1,11612375,11612206
chr1,995207,995372
chr1,999692,999857
chr1,1001806,1001971
chr1,1006047,1006212
chr1,1016526,1016691
chr1,1021103,1021268
chr1,1022064,1022228
chr1,1036066,1036231
chr1,1040270,1040435
chr1,1042107,1042272
chr1,1065803,1065971
chr1,4019855,4020019
chr1,11358615,11358446
chr1,1048702,1048868
chr1,1065763,1065929
chr1,4044983,4045151
chr1,4046340,4046506
chr1,4050030,4050198
chr1,4056841,4057009
chr1,5707450,5707606
chr1,5717714,5717878
chr1,5718657,5718818
chr1,5729422,5729595
chr1,7041078,7040920
chr1,7308455,7308621
chr1,11376193,11376015
chr1,11596790,11596626
chr1,11608593,11608427
chr1,999254,999419
chr1,1019479,1019654
chr1,1020808,1020975
chr1,1021762,1021937
chr1,1030198,1030373
chr1,1031527,1031694
chr1,1037893,1038060
chr1,1038827,1039002
chr1,1040879,1041054
chr1,1042044,1042211
chr1,1050395,1050563
chr1,1050439,1050594
chr1,7328370,7328538
chr1,11373702,11373533
chr1,1000352,1000525
chr1,1050668,1050833
chr1,1064467,1064633
chr1,4046148,4046318
chr1,4048053,4048223
chr1,4051005,4051175
chr1,5716733,5716899
chr1,5722445,5722611
chr1,7327953,7328082
chr1,11606219,11606053
chr1,994067,994234
chr1,995144,995310
chr1,1005755,1005921
chr1,1005818,1005982
chr1,1006130,1006297
chr1,1009062,1009229
chr1,1010462,1010629
chr1,1021186,1021353
chr1,1048849,1049016
chr1,1058123,1058290
chr1,1059934,1060100
chr1,1065658,1065825
chr1,2777473,2777640
chr1,4041055,4041222
chr1,4041489,4041657
chr1,4049780,4049948
chr1,4050546,4050713
chr1,4054770,4054937
chr1,4059562,4059729
chr1,4060460,4060630
chr1,5707239,5707406
chr1,5713261,5713423
chr1,5717774,5717941
chr1,5718567,5718734
chr1,5724152,5724319
chr1,11372558,11372391
chr1,11608551,11608384
chr1,11610091,11609924
chr1,11610196,11610029
chr1,11612827,11612665
chr1,1003689,1003854
chr1,1012508,1012673
chr1,1025103,1025268
chr1,1031822,1031987
chr1,1044454,1044619
chr1,1063757,1063926
chr1,4041159,4041327
chr1,4046891,4047060
chr1,4048161,4048328
chr1,4048957,4049122
chr1,4049883,4050052
chr1,4060545,4060714
chr1,7304325,7304494
chr1,7309584,7309751
chr1,11382022,11381858
chr1,994279,994445
chr1,995499,995665
chr1,997577,997743
chr1,998537,998703
chr1,1001868,1002034
chr1,1006109,1006275
chr1,1010441,1010607
chr1,1012570,1012736
chr1,1021165,1021331
chr1,1039193,1039361
chr1,1064381,1064548
chr1,4061562,4061730
chr1,5713367,5713528
chr1,5719149,5719317
chr1,7305418,7305588
chr1,7313480,7313654
chr1,7318155,7318316
chr1,11379549,11379382
chr1,11381382,11381221
chr1,11381766,11381600
chr1,11607483,11607317
chr1,650170,650001
chr1,997267,997432
chr1,1002461,1002636
chr1,1008764,1008939
chr1,1013165,1013340
chr1,1014393,1014552
chr1,1017412,1017587
chr1,1033522,1033687
chr1,1042908,1043073
chr1,1066386,1066553
chr1,2778609,2778777
chr1,4047846,4048011
chr1,4055229,4055394
chr1,4056499,4056668
chr1,4062113,4062285
chr1,5708915,5709081
chr1,5716206,5716374
chr1,7311433,7311599
chr1,7323907,7324076
chr1,11360627,11360458
chr1,11379950,11379808
chr1,11595965,11595795
chr1,994151,994320
chr1,997330,997493
chr1,1019779,1019944
chr1,1030498,1030663
chr1,1041182,1041347
chr1,1047541,1047707
chr1,1049935,1050101
chr1,1064031,1064192
chr1,1065700,1065864
chr1,2658582,2658747
chr1,2777369,2777535
chr1,4048601,4048767
chr1,4052961,4053130
chr1,4058628,4058789
chr1,4062460,4062626
chr1,5707110,5707280
chr1,5707131,5707301
chr1,5720814,5720982
chr1,5727045,5727211
chr1,7304371,7304536
chr1,7308441,7308601
chr1,7314442,7314611
chr1,7315060,7315225
chr1,7320303,7320463
chr1,7323798,7323971
chr1,7324538,7324703
chr1,7325901,7326067
chr1,11376254,11376089
chr1,650149,649979
chr1,995525,995687
chr1,996117,996283
chr1,999775,999942
chr1,1001889,1002056
chr1,1007862,1008028
chr1,1008195,1008357
chr1,1011017,1011184
chr1,1018908,1019070
chr1,1029639,1029801
chr1,1034044,1034211
chr1,1038251,1038418
chr1,1040332,1040499
chr1,1049101,1049267
chr1,1058799,1058966
chr1,1059008,1059175
chr1,1061310,1061477
chr1,1066428,1066595
chr1,4044587,4044756
chr1,4048077,4048244
chr1,4048371,4048538
chr1,4048620,4048788
chr1,4052980,4053151
chr1,4053639,4053806
chr1,4054601,4054769
chr1,5716082,5716249
chr1,5716166,5716333
chr1,5722549,5722716
chr1,5724131,5724298
chr1,5729047,5729214
chr1,5729152,5729319
chr1,7310339,7310501
chr1,7316395,7316562
chr1,7319673,7319840
chr1,11380635,11380468
chr1,995437,995602
chr1,998621,998788
chr1,1004892,1005056
chr1,1009779,1009943
chr1,1011434,1011601
chr1,1020495,1020659
chr1,1022146,1022313
chr1,1026306,1026470
chr1,1031215,1031379
chr1,1032887,1033054
chr1,1038293,1038457
chr1,1040374,1040538
chr1,1043379,1043546
chr1,1058675,1058839
chr1,1059135,1059305
chr1,4044652,4044818
chr1,4047747,4047907
chr1,4052617,4052783
chr1,4053555,4053712
chr1,4054051,4054220
chr1,4061015,4061183
chr1,5709797,5709961
chr1,5712039,5712209
chr1,5714308,5714478
chr1,5719294,5719463
chr1,7305254,7305418
chr1,7306594,7306763
chr1,11376363,11376194
chr1,11381285,11381126
chr1,995541,995707
chr1,997642,997808
chr1,999796,999962
chr1,1001910,1002076
chr1,1003980,1004146
chr1,1006151,1006317
chr1,1008115,1008272
chr1,1010483,1010649
chr1,1012612,1012778
chr1,1014687,1014853
chr1,1018828,1018985
chr1,1021207,1021373
chr1,1023322,1023488
chr1,1023875,1024049
chr1,1025393,1025559
chr1,1028123,1028297
chr1,1029559,1029716
chr1,1036727,1036900
chr1,1042376,1042533
chr1,1042430,1042596
chr1,1050773,1050939
chr1,1060534,1060700
chr1,1063191,1063357
chr1,1064820,1064989
chr1,4045640,4045808
chr1,4048140,4048291
chr1,4048329,4048495
chr1,4052450,4052612
chr1,4054345,4054511
chr1,5717046,5717214
chr1,5717321,5717487
chr1,5724257,5724423
chr1,7312860,7313026
chr1,7319632,7319798
chr1,11357955,11358120
chr1,11374932,11374761
chr1,11608509,11608344
chr1,1022928,1023093
chr1,1034621,1034796
chr1,1061268,1061435
chr1,4047635,4047803
chr1,4050798,4050964
chr1,4054959,4055121
chr1,5714161,5714329
chr1,5718756,5718919
chr1,7303971,7304136
chr1,7312004,7312172
chr1,7316918,7317086
chr1,7325201,7325368
chr1,7327496,7327662
chr1,7327539,7327705
chr1,11599132,11598962
chr1,999359,999525
chr1,1007925,1008087
chr1,1032031,1032197
chr1,1035709,1035878
chr1,1063275,1063441
chr1,1065908,1066076
chr1,2658645,2658811
chr1,4019702,4019875
chr1,4046257,4046423
chr1,4048518,4048684
chr1,4053253,4053423
chr1,4056669,4056843
chr1,4062481,4062646
chr1,5711565,5711731
chr1,7309275,7309440
chr1,7312652,7312815
chr1,7321868,7322034
chr1,11007429,11007266
chr1,1001514,1001680
chr1,1001577,1001741
chr1,1003626,1003792
chr1,1003729,1003897
chr1,1003919,1004083
chr1,1004022,1004189
chr1,1012216,1012382
chr1,1012279,1012443
chr1,1012596,1012758
chr1,1014330,1014496
chr1,1014626,1014790
chr1,1014729,1014896
chr1,1018531,1018698
chr1,1018575,1018741
chr1,1023219,1023383
chr1,1023306,1023468
chr1,1025040,1025206
chr1,1025332,1025496
chr1,1025435,1025602
chr1,1029262,1029429
chr1,1029306,1029472
chr1,1035753,1035920
chr1,1035858,1036024
chr1,1039088,1039255
chr1,1040055,1040183
chr1,1042456,1042618
chr1,1044162,1044328
chr1,1044225,1044389
chr1,1044516,1044683
chr1,1048828,1048995
chr1,1059030,1059197
chr1,1064990,1065157
chr1,1067263,1067432
chr1,4019094,4019261
chr1,4019346,4019513
chr1,4041740,4041907
chr1,4046298,4046465
chr1,4046361,4046528
chr1,4048203,4048370
chr1,4048224,4048391
chr1,4051637,4051794
chr1,4052135,4052302
chr1,4055395,4055562
chr1,4056585,4056752
chr1,4058541,4058709
chr1,4061841,4062005
chr1,5707744,5707911
chr1,5707807,5707974
chr1,5708999,5709166
chr1,5709839,5710006
chr1,5711037,5711204
chr1,5711377,5711543
chr1,5712603,5712771
chr1,5713828,5713995
chr1,5714226,5714393
chr1,5716019,5716186
chr1,5720712,5720878
chr1,5721131,5721298
chr1,5721173,5721340
chr1,7305781,7305949
chr1,7306353,7306491
chr1,7306660,7306827
chr1,7309420,7309582
chr1,11359130,11358977
chr1,11373722,11373554
chr1,11382234,11382067
chr1,11383419,11383252
chr1,11596166,11596009
chr1,11601142,11600975
chr1,11603793,11603630
chr1,11607771,11607608
chr1,649999,649835
chr1,998451,998620
chr1,1005711,1005880
chr1,1020722,1020890
chr1,1023281,1023446
chr1,1027464,1027629
chr1,1031989,1032154
chr1,1037114,1037281
chr1,1038189,1038354
chr1,1059283,1059452
chr1,1063885,1064050
chr1,1065032,1065196
chr1,1066893,1067058
chr1,4019800,4019959
chr1,4046237,4046402
chr1,4047950,4048118
chr1,4049950,4050115
chr1,4051407,4051573
chr1,4054138,4054302
chr1,4056563,4056731
chr1,4060397,4060567
chr1,4061647,4061804
chr1,5707726,5707890
chr1,5708111,5708280
chr1,5711224,5711394
chr1,5716649,5716813
chr1,5718544,5718703
chr1,5720460,5720625
chr1,5720771,5720942
chr1,5723237,5723404
chr1,7304930,7305059
chr1,7311577,7311746
chr1,7318172,7318336
chr1,7327656,7327789
chr1,11357277,11357441
chr1,11359447,11359278
chr1,11360606,11360436
chr1,11373851,11373682
chr1,11375913,11375744
chr1,11379953,11379794
chr1,11380278,11380108
chr1,11602435,11602265
chr1,11607978,11607844
chr1,11612687,11612518
chr1,11613251,11613078
chr1,16924868,16925035
chr1,994997,995163
chr1,1003479,1003645
chr1,1008169,1008335
chr1,1011327,1011496
chr1,1014183,1014349
chr1,1015681,1015849
chr1,1016316,1016482
chr1,1016817,1016983
chr1,1018882,1019048
chr1,1024893,1025059
chr1,1029613,1029779
chr1,1034065,1034231
chr1,1036128,1036294
chr1,1037030,1037196
chr1,1039130,1039296
chr1,1039974,1040140
chr1,1042472,1042638
chr1,1043272,1043441
chr1,1047528,1047687
chr1,1047604,1047769
chr1,1048594,1048761
chr1,1048807,1048973
chr1,1057857,1058018
chr1,1064073,1064234
chr1,1064131,1064297
chr1,1066510,1066677
chr1,1066976,1067140
chr1,4040870,4041031
chr1,4041096,4041264
chr1,4046278,4046444
chr1,4060568,4060734
chr1,4061373,4061561
chr1,5713717,5713890
chr1,5718047,5718213
chr1,7308539,7308697
chr1,7309607,7309770
chr1,7310667,7310849
chr1,7314529,7314697
chr1,7315576,7315749
chr1,11358057,11358220
chr1,11373145,11372979
chr1,11377166,11376998
chr1,11380550,11380384
chr1,11381199,11381021
chr1,11601037,11600871
chr1,11603911,11603737
chr1,11610175,11610009
chr1,11939700,11939574
chr1,16924766,16924918
chr1,998579,998745
chr1,999419,999587
chr1,1011392,1011558
chr1,1015599,1015764
chr1,1022104,1022270
chr1,1027022,1027187
chr1,1032845,1033011
chr1,1039828,1039993
chr1,1043337,1043503
chr1,1045447,1045613
chr1,1046279,1046447
chr1,1058333,1058498
chr1,1059893,1060059
chr1,1061415,1061581
chr1,1064571,1064737
chr1,2777162,2777326
chr1,4019683,4019854
chr1,4052154,4052322
chr1,4052303,4052470
chr1,4052877,4053044
chr1,4053365,4053529
chr1,4054795,4054958
chr1,4061099,4061266
chr1,4061476,4061646
chr1,5706840,5707008
chr1,5715477,5715641
chr1,5716353,5716521
chr1,5718404,5718566
chr1,5718670,5718838
chr1,5724552,5724718
chr1,5729215,5729380
chr1,7311985,7312152
chr1,7314157,7314321
chr1,7317333,7317500
chr1,11356899,11357064
chr1,11376799,11376655
chr1,11383320,11383176
chr1,11939719,11939565
chr1,1022991,1023154
chr1,1027127,1027293
chr1,1058563,1058714
chr1,1059790,1059953
chr1,1060889,1061046
chr1,4041614,4041781
chr1,4051470,4051636
chr1,4052240,4052405
chr1,4058585,4058751
chr1,5708355,5708521
chr1,5708642,5708808
chr1,5711020,5711176
chr1,5715186,5715349
chr1,5715684,5715850
chr1,5715872,5716032
chr1,5720334,5720500
chr1,5722188,5722357
chr1,5725178,5725344
chr1,5727448,5727613
chr1,5729022,5729151
chr1,7310094,7310259
chr1,7312590,7312714
chr1,7315163,7315328
chr1,7317524,7317689
chr1,7320412,7320577
chr1,7320889,7321059
chr1,7323465,7323631
chr1,11374995,11374830
chr1,11597255,11597088
chr1,11609944,11609781
chr1,995100,995267
chr1,995247,995415
chr1,996075,996242
chr1,998495,998662
chr1,1016419,1016586
chr1,1016943,1017120
chr1,1020766,1020933
chr1,1027652,1027829
chr1,1032512,1032678
chr1,1041140,1041307
chr1,1058373,1058540
chr1,1061058,1061225
chr1,1063170,1063337
chr1,1063924,1064092
chr1,2658498,2658665
chr1,4019876,4020043
chr1,4048894,4049061
chr1,4048915,4049082
chr1,4049926,4050094
chr1,4050220,4050385
chr1,4050588,4050745
chr1,4053171,4053339
chr1,4053344,4053508
chr1,4054704,4054871
chr1,4061142,4061309
chr1,4061626,4061793
chr1,5707302,5707469
chr1,5708936,5709103
chr1,5714289,5714455
chr1,5716271,5716438
chr1,5717299,5717466
chr1,5722738,5722905
chr1,5722759,5722926
chr1,5724215,5724377
chr1,5726263,5726430
chr1,7313372,7313540
chr1,7318708,7318874
chr1,7320703,7320870
chr1,7324873,7325040
chr1,7325412,7325579
chr1,7327643,7327810
chr1,11372621,11372454
chr1,11374038,11373871
chr1,11375573,11375406
chr1,11610622,11610455
chr1,994258,994425
chr1,1009148,1009315
chr1,1016755,1016920
chr1,1019863,1020030
chr1,1030582,1030749
chr1,1041266,1041433
chr1,1044558,1044722
chr1,1064592,1064756
chr1,1066851,1067016
chr1,4045214,4045370
chr1,4045745,4045873
chr1,5707701,5707869
chr1,5710403,5710572
chr1,5713275,5713444
chr1,5717837,5718004
chr1,5718190,5718359
chr1,5720879,5721046
chr1,5721633,5721792
chr1,5722104,5722275
chr1,5723132,5723299
chr1,7307262,7307419
chr1,11359151,11358981
chr1,11360477,11360310
chr1,11375081,11374912
chr1,11377596,11377431
chr1,11382622,11382457
chr1,11595857,11595691
chr1,11599024,11598858
chr1,11599332,11599173
chr1,11607358,11607190
chr1,994363,994530
chr1,997120,997286
chr1,1001367,1001533
chr1,1008211,1008377
chr1,1009041,1009210
chr1,1010153,1010280
chr1,1012069,1012235
chr1,1018428,1018594
chr1,1018924,1019090
chr1,1022781,1022947
chr1,1027526,1027692
chr1,1029159,1029325
chr1,1029655,1029821
chr1,1030007,1030176
chr1,1031884,1032050
chr1,1032780,1032949
chr1,1045382,1045551
chr1,1046031,1046217
chr1,1046618,1046784
chr1,1049269,1049435
chr1,1050731,1050897
chr1,1058694,1058860
chr1,1065553,1065719
chr1,1066786,1066953
chr1,4019115,4019281
chr1,4041370,4041553
chr1,4047145,4047313
chr1,4050567,4050718
chr1,4058478,4058646
chr1,4058752,4058916
chr1,4060505,4060661
chr1,4061247,4061413
chr1,4061499,4061667
chr1,5710675,5710847
chr1,5711869,5712038
chr1,5716670,5716831
chr1,5717742,5717899
chr1,5721049,5721213
chr1,5724090,5724256
chr1,5724508,5724676
chr1,7304453,7304617
chr1,7306120,7306283
chr1,7309378,7309541
chr1,11357023,11357191
chr1,11357256,11357422
chr1,11358529,11358364
chr1,11359340,11359174
chr1,11360130,11359964
chr1,11607628,11607462
chr1,11612501,11612332
chr1,650286,650105
chr1,1004932,1005098
chr1,1026346,1026512
chr1,1033687,1033855
chr1,1037072,1037238
chr1,1046114,1046279
chr1,1050756,1050919
chr1,1061730,1061895
chr1,1065616,1065783
chr1,4049676,4049841
chr1,4060050,4060208
chr1,5709864,5710027
chr1,5710235,5710403
chr1,5710615,5710784
chr1,5719255,5719418
chr1,5724385,5724550
chr1,5724906,5725073
chr1,7305798,7305965
chr1,7313461,7313632
chr1,11375531,11375377
chr1,11377060,11376896
chr1,11380448,11380280
chr1,11612931,11612769
chr1,994045,994212
chr1,996053,996220
chr1,1000431,1000591
chr1,1018638,1018800
chr1,1024258,1024424
chr1,1025143,1025310
chr1,1029369,1029531
chr1,1036988,1037148
chr1,1062166,1062324
chr1,1066872,1067038
chr1,4051289,4051445
chr1,4051512,4051678
chr1,4053194,4053360
chr1,4054687,4054853
chr1,4060067,4060228
chr1,5710276,5710446
chr1,5711127,5711287
chr1,5718116,5718266
chr1,5718326,5718486
chr1,5718527,5718692
chr1,5720376,5720542
chr1,5720670,5720836
chr1,5722508,5722664
chr1,5728382,5728547
chr1,5728697,5728882
chr1,7306197,7306367
chr1,7308144,7308309
chr1,7312632,7312795
chr1,7317667,7317837
chr1,7321436,7321597
chr1,7324333,7324493
chr1,7327435,7327602
chr1,7327875,7328040
chr1,7328160,7328327
chr1,11358801,11358635
chr1,11378109,11377934
chr1,11382066,11381900
chr1,11603706,11603556
chr1,1004127,1004295
chr1,1005672,1005838
chr1,1010005,1010173
chr1,1011318,1011475
chr1,1014834,1015002
chr1,1025540,1025708
chr1,1032470,1032637
chr1,1032771,1032928
chr1,1036154,1036316
chr1,1039046,1039213
chr1,1039149,1039318
chr1,1041098,1041265
chr1,1043263,1043420
chr1,1045373,1045530
chr1,1046217,1046385
chr1,1047205,1047372
chr1,1047499,1047666
chr1,1048406,1048574
chr1,1048723,1048890
chr1,1061806,1061939
chr1,1062250,1062416
chr1,2658601,2658769
chr1,2777089,2777242
chr1,2777304,2777462
chr1,4040765,4040932
chr1,4046935,4047102
chr1,4047863,4048033
chr1,4050630,4050797
chr1,4050651,4050817
chr1,4050775,4050942
chr1,4053090,4053253
chr1,4054833,4055000
chr1,4055416,4055573
chr1,4061352,4061519
chr1,5709125,5709292
chr1,5710258,5710425
chr1,5710765,5710932
chr1,5711142,5711309
chr1,5713151,5713318
chr1,5715203,5715370
chr1,5715788,5715955
chr1,5715851,5716018
chr1,5723153,5723320
chr1,5724057,5724214
chr1,5724173,5724340
chr1,5725979,5726146
chr1,5726494,5726661
chr1,7309504,7309668
chr1,7312341,7312508
chr1,7313833,7313986
chr1,7315414,7315575
chr1,7320185,7320346
chr1,11372705,11372538
chr1,11373975,11373808
chr1,11376037,11375869
chr1,11376462,11376326
chr1,11380572,11380405
chr1,11600848,11600681
chr1,11600953,11600826
chr1,11603625,11603451
chr1,11605653,11605484
chr1,11612517,11612353
chr1,1002845,1003012
chr1,1013549,1013716
chr1,1014433,1014604
chr1,1017795,1017962
chr1,1026074,1026243
chr1,1028506,1028673
chr1,1058413,1058583
chr1,1060620,1060786
chr1,1061161,1061330
chr1,1061835,1061997
chr1,1065866,1066035
chr1,2777989,2778167
chr1,4019832,4019991
chr1,4040700,4040869
chr1,4042746,4042906
chr1,4046072,4046235
chr1,4047188,4047351
chr1,4049275,4049444
chr1,4049577,4049737
chr1,4054810,4054979
chr1,4061436,4061602
chr1,5709333,5709502
chr1,5710592,5710762
chr1,5714182,5714351
chr1,5721003,5721172
chr1,5724943,5725114
chr1,5725217,5725351
chr1,5725937,5726101
chr1,5726599,5726766
chr1,7304137,7304305
chr1,7311535,7311704
chr1,7313904,7314069
chr1,7316255,7316414
chr1,7322244,7322412
chr1,7327767,7327935
chr1,7328224,7328392
chr1,11358716,11358551
chr1,11359735,11359583
chr1,11373062,11372898
chr1,11375784,11375620
chr1,11377849,11377685
chr1,11599529,11599376
chr1,11603329,11603164
chr1,11603536,11603352
chr1,991196,991361
chr1,1002738,1002907
chr1,1002761,1002927
chr1,1005608,1005774
chr1,1013442,1013611
chr1,1013465,1013631
chr1,1016859,1017025
chr1,1017688,1017857
chr1,1017711,1017877
chr1,1019756,1019925
chr1,1022039,1022208
chr1,1024151,1024320
chr1,1024174,1024340
chr1,1028399,1028568
chr1,1028422,1028588
chr1,1030475,1030644
chr1,1034898,1035067
chr1,1034921,1035087
chr1,1036170,1036336
chr1,1038277,1038438
chr1,1040358,1040519
chr1,1041159,1041328
chr1,1046556,1046721
chr1,1046765,1046933
chr1,1048870,1049036
chr1,1049680,1049849
chr1,1059348,1059514
chr1,1064647,1064799
chr1,1064674,1064841
chr1,1065847,1066013
chr1,2658540,2658706
chr1,4044609,4044777
chr1,4045851,4046029
chr1,4049907,4050073
chr1,4049970,4050132
chr1,4051119,4051280
chr1,4061289,4061455
chr1,5709942,5710109
chr1,5710468,5710635
chr1,5714205,5714371
chr1,5719318,5719479
chr1,5720150,5720291
chr1,5720480,5720648
chr1,5721215,5721383
chr1,5721276,5721440
chr1,5725523,5725691
chr1,5727427,5727593
chr1,5727469,5727635
chr1,7041099,7040931
chr1,7308476,7308642
chr1,7316312,7316478
chr1,7322421,7322588
chr1,11359067,11358910
chr1,11359941,11359773
chr1,11373765,11373599
chr1,11374196,11374018
chr1,11381790,11381620
chr1,11382149,11381983
chr1,11597381,11597215
chr1,11608896,11608730
chr1,11609965,11609799
chr1,11610322,11610156
chr1,11611903,11611737
chr1,11612414,11612246
chr1,994321,994487
chr1,999568,999733
chr1,1000160,1000330
chr1,1006859,1007043
chr1,1007086,1007252
chr1,1007716,1007881
chr1,1017220,1017390
chr1,1027187,1027355
chr1,1027605,1027753
chr1,1028842,1029013
chr1,1031963,1032111
chr1,1034429,1034599
chr1,1034536,1034701
chr1,1034963,1035129
chr1,1041224,1041390
chr1,1044118,1044281
chr1,1046697,1046845
chr1,1049038,1049204
chr1,1050292,1050459
chr1,1059411,1059578
chr1,1061371,1061539
chr1,4041887,4042044
chr1,4042140,4042308
chr1,4045968,4046128
chr1,4049445,4049611
