"Chromosome" "chromStart" "chromEnd" "Marker"
"323" "LG6" "1537368" "1537369" "M12512"
"324" "LG6" "1703968" "1703969" "M13758"
"326" "LG6" "1887955" "1887956" "M14664"
"335" "LG6" "2179708" "2179709" "M40649"
"318" "LG6" "2290483" "2290484" "M4002"
"332" "LG6" "3357752" "3357753" "M34343"
"336" "LG6" "4082951" "4082952" "M43325"
"50" "LG6" "4818572" "4818573" "M19901"
"54" "LG6" "6220504" "6220505" "M28459"
"631" "LG6" "8812559" "8812560" "M2223"
"22" "LG6" "11229378" "11229379" "M14198"
"436" "LG6" "11641248" "11641249" "M45542"
"21" "LG6" "11683071" "11683072" "M13558"
"317" "LG6" "13385144" "13385145" "M45094"
"290" "LG6" "13387101" "13387102" "M949"
"146" "LG6" "13929546" "13929547" "M15617"
"161" "LG6" "14136970" "14136971" "M39105"
"141" "LG6" "14244861" "14244862" "M4220"
"152" "LG6" "14306504" "14306505" "M24940"
"355" "LG6" "15070415" "15070416" "M43791"
"351" "LG6" "15097389" "15097390" "M38491"
"3461" "LG6" "15287393" "15287394" "M23533"
"3451" "LG6" "16593221" "16593222" "M22287"
"482" "LG6" "18018214" "18018215" "M41355"
"472" "LG6" "18020853" "18020854" "M18902"
"483" "LG6" "18451096" "18451097" "M41686"
"478" "LG6" "19080844" "19080845" "M29031"
"4741" "LG6" "19455780" "19455781" "M21320"
"477" "LG6" "19526167" "19526168" "M28000"
"731" "LG6" "20456817" "20456818" "M14633"
"297" "LG6" "21270054" "21270055" "M11333"
"494" "LG6" "21888802" "21888803" "M26980"
"497" "LG6" "21986522" "21986523" "M33013"
"238" "LG8" "1038310" "1038311" "M1377"
"240" "LG8" "1073758" "1073759" "M2636"
"244" "LG8" "1100210" "1100211" "M18318"
"247" "LG8" "1211831" "1211832" "M22905"
"2481" "LG8" "2132009" "2132010" "M24036"
"243" "LG8" "2371979" "2371980" "M15843"
"162" "LG8" "2653878" "2653879" "M696"
"172" "LG8" "4575429" "4575430" "M34004"
"62" "LG8" "4942026" "4942027" "M1298"
"721" "LG8" "5317230" "5317231" "M13109"
"65" "LG8" "5643397" "5643398" "M3839"
"821" "LG8" "5644817" "5644818" "M33853"
"71" "LG8" "7096467" "7096468" "M10390"
"88" "LG8" "7525909" "7525910" "M11170"
"112" "LG8" "7610726" "7610727" "M19420"
"941" "LG8" "8076927" "8076928" "M23878"
"91" "LG8" "8285036" "8285037" "M19185"
"364" "LG8" "8856596" "8856597" "M16245"
"359" "LG8" "9129565" "9129566" "M4917"
"358" "LG8" "9339353" "9339354" "M3759"
"368" "LG8" "9584671" "9584672" "M28319"
"458" "LG8" "10041415" "10041416" "M36469"
"174" "LG8" "12485033" "12485034" "M39219"
"164" "LG8" "12591387" "12591388" "M10814"
"163" "LG8" "13718811" "13718812" "M3164"
"4591" "LG8" "16644500" "16644501" "M36546"
"462" "LG8" "17139580" "17139581" "M44057"
"461" "LG8" "17802718" "17802719" "M42137"
"455" "LG8" "17863883" "17863884" "M28299"
"448" "LG8" "18044124" "18044125" "M8363"
"440" "LG9" "224236" "224237" "M20555"
"437" "LG9" "623552" "623553" "M8167"
"4351" "LG9" "4492919" "4492920" "M7725"
"4361" "LG9" "5478549" "5478550" "M7948"
"280" "LG9" "7607646" "7607647" "M25623"
"525" "LG9" "9757381" "9757382" "M33519"
"521" "LG9" "10043072" "10043073" "M12296"
"526" "LG9" "10519670" "10519671" "M37202"
"523" "LG9" "11597752" "11597753" "M31268"
"931" "LG9" "12615048" "12615049" "M23295"
"90" "LG9" "12665926" "12665927" "M14443"
"101" "LG9" "13560740" "13560741" "M34884"
"96" "LG9" "14506817" "14506818" "M26291"
"481" "LG10" "220040" "220041" "M39302"
"4751" "LG10" "521430" "521431" "M27611"
"132" "LG10" "1782430" "1782431" "M18979"
"135" "LG10" "1815558" "1815559" "M19708"
"134" "LG10" "1817707" "1817708" "M19135"
"138" "LG10" "2288117" "2288118" "M42519"
"1361" "LG10" "3211235" "3211236" "M21398"
"131" "LG10" "4046840" "4046841" "M18489"
"129" "LG10" "4823637" "4823638" "M9060"
"109" "LG12" "37815" "37816" "M10510"
"125" "LG12" "1380707" "1380708" "M437"
"126" "LG12" "1399064" "1399065" "M5437"
"752" "LG12" "2886043" "2886044" "M21079"
"385" "LG13" "1591914" "1591915" "M19190"
"389" "LG13" "1723966" "1723967" "M26076"
"397" "LG13" "2397931" "2397932" "M41086"
"396" "LG13" "2621865" "2621866" "M40497"
"395" "LG13" "3114280" "3114281" "M38875"
"394" "LG13" "3425785" "3425786" "M37934"
"3871" "LG13" "3425871" "3425872" "M23570"
"390" "LG13" "3696427" "3696428" "M30057"
"343" "LG13" "4571030" "4571031" "M12647"
"338" "LG13" "4674009" "4674010" "M1425"
"350" "LG13" "5674201" "5674202" "M38130"
"341" "LG13" "5748685" "5748686" "M3043"
"199" "LG13" "7327535" "7327536" "M43646"
"175" "LG13" "7436847" "7436848" "M991"
"4861" "LG13" "8320821" "8320822" "M2981"
"264" "LG13" "8525403" "8525404" "M3438"
"289" "LG13" "8540757" "8540758" "M41274"
"270" "LG13" "8551503" "8551504" "M17240"
"267" "LG13" "8576749" "8576750" "M16467"
"272" "LG13" "8576835" "8576836" "M19439"
"275" "LG13" "8608995" "8608996" "M20566"
"263" "LG13" "9293250" "9293251" "M1227"
"266" "LG13" "12113376" "12113377" "M13623"
"271" "LG13" "12633071" "12633072" "M19027"
"265" "LG13" "13661844" "13661845" "M8519"
"284" "LG13" "13738361" "13738362" "M30291"
"281" "LG13" "13744385" "13744386" "M25977"
"277" "LG13" "13758115" "13758116" "M23881"
"1371" "LG13" "14680644" "14680645" "M30472"
"139" "LG13" "14968210" "14968211" "M44329"
"499" "LG13" "16239692" "16239693" "M35142"
"498" "LG13" "16362965" "16362966" "M33136"
"500" "LG13" "16362965" "16362966" "M35848"
"31" "LG13" "16669483" "16669484" "M27441"
"3612" "LG13" "16883258" "16883259" "M39339"
"2810" "LG13" "17207249" "17207250" "M21718"
"27" "LG13" "17993783" "17993784" "M21126"
"4211" "LG13" "18607689" "18607690" "M45347"
"404" "LG13" "19192090" "19192091" "M12578"
"400" "LG13" "19383419" "19383420" "M1635"
"413" "LG13" "19544459" "19544460" "M28259"
"415" "LG13" "19790412" "19790413" "M32984"
"421" "LG13" "20012263" "20012264" "M42376"
"414" "LG13" "20058901" "20058902" "M32146"
"539" "LG13" "20394996" "20394997" "M16856"
"540" "LG13" "21821072" "21821073" "M18523"
"3151" "LG13" "22038741" "22038742" "M41370"
"309" "LG13" "22490224" "22490225" "M32904"
"423" "LG13" "23532911" "23532912" "M7255"
"422" "LG13" "23687707" "23687708" "M4153"
"430" "LG13" "23822749" "23822750" "M37256"
"528" "LG13" "25617615" "25617616" "M14852"
"532" "LG13" "25925109" "25925110" "M34726"
"441" "LG14" "1431586" "1431587" "M23515"
"443" "LG14" "2218897" "2218898" "M30960"
"442" "LG14" "2411138" "2411139" "M27365"
"439" "LG14" "2411224" "2411225" "M20337"
"438" "LG14" "2979224" "2979225" "M20065"
"295" "LG15" "530016" "530017" "M8971"
"307" "LG15" "1104695" "1104696" "M29776"
"471" "LG15" "1437140" "1437141" "M13499"
"479" "LG15" "1582247" "1582248" "M37056"
"466" "LG15" "1702780" "1702781" "M3957"
"480" "LG15" "1780749" "1780750" "M38978"
"465" "LG15" "2463476" "2463477" "M2593"
"377" "LG15" "3072220" "3072221" "M3103"
"393" "LG15" "3127078" "3127079" "M37276"
"386" "LG15" "3403649" "3403650" "M20182"
"392" "LG15" "4112954" "4112955" "M36727"
"378" "LG15" "4733153" "4733154" "M6699"
"399" "LG15" "5159466" "5159467" "M42992"
"382" "LG15" "5406367" "5406368" "M17439"
"381" "LG15" "6353026" "6353027" "M14884"
"145" "LG16" "807751" "807752" "M15172"
"149" "LG16" "1664173" "1664174" "M17927"
"147" "LG16" "1825646" "1825647" "M15718"
"321" "LG16" "2910190" "2910191" "M11681"
"319" "LG16" "2951940" "2951941" "M4738"
"334" "LG16" "4173204" "4173205" "M38537"
"444" "LG16" "4872756" "4872757" "M36050"
"1111" "LG16" "6550178" "6550179" "M26054"
"4112" "LG16" "7002065" "7002066" "M8015"
"37" "LG16" "8939866" "8939867" "M39777"
"2021" "LG16" "9152149" "9152150" "M12171"
"4710" "LG16" "11149721" "11149722" "M15870"
"46" "LG17" "218406" "218407" "M11715"
"4911" "LG17" "220272" "220273" "M18888"
"208" "LG18" "323671" "323672" "M17222"
"214" "LG19" "155591" "155592" "M26884"
"124" "LG19" "213426" "213427" "M45176"
"113" "LG19" "741110" "741111" "M21984"
"11011" "LG19" "1372011" "1372012" "M10891"
"55" "LG19" "2872226" "2872227" "M29123"
"4411" "LG19" "2877441" "2877442" "M2519"
"457" "LG19" "4782641" "4782642" "M33352"
"456" "LG19" "5277574" "5277575" "M28688"
"379" "LG19" "5873010" "5873011" "M7450"
"226" "LG19" "7011132" "7011133" "M38604"
"218" "LG19" "7181077" "7181078" "M36258"
"209" "LG19" "7263450" "7263451" "M18462"
"310" "LG19" "8749307" "8749308" "M35560"
"33" "LG20" "194604" "194605" "M29986"
"19" "LG20" "544314" "544315" "M7287"
"254" "LG20" "2365978" "2365979" "M36660"
"242" "LG20" "2911843" "2911844" "M8953"
"261" "LG20" "3252702" "3252703" "M43687"
"251" "LG20" "3400242" "3400243" "M31950"
"237" "LG20" "3662200" "3662201" "M102"
"239" "LG20" "3865208" "3865209" "M2348"
"260" "LG20" "3972726" "3972727" "M43556"
"253" "LG20" "4004066" "4004067" "M35962"
"256" "LG20" "4004152" "4004153" "M38572"
"225" "LG20" "5597348" "5597349" "M37857"
"216" "LG20" "6008263" "6008264" "M34453"
"2241" "LG20" "7327722" "7327723" "M37842"
"303" "LG20" "8223073" "8223074" "M17814"
"148" "LG20" "8747454" "8747455" "M17054"
"142" "LG20" "8799112" "8799113" "M9046"
"250" "LG21" "747723" "747724" "M26490"
"241" "LG21" "1006256" "1006257" "M8427"
"249" "LG21" "1026119" "1026120" "M26106"
"2581" "LG21" "1286416" "1286417" "M39771"
"299" "LG21" "2358098" "2358099" "M13697"
"301" "LG21" "2363718" "2363719" "M16657"
"302" "LG21" "2521516" "2521517" "M16807"
"122" "LG21" "2777149" "2777150" "M36878"
"107" "LG21" "3118603" "3118604" "M6504"
"227" "LG21" "3286506" "3286507" "M38740"
"232" "LG21" "3343259" "3343260" "M42333"
"2221" "LG21" "3687146" "3687147" "M36991"
"234" "LG21" "3728336" "3728337" "M43602"
"207" "LG21" "4429142" "4429143" "M16299"
"229" "LG21" "4723044" "4723045" "M41238"
"204" "LG21" "4725884" "4725885" "M9422"
"219" "LG21" "4725970" "4725971" "M36266"
"210" "LG21" "5229839" "5229840" "M18637"
"231" "LG21" "5245427" "5245428" "M41939"
"235" "LG21" "5245513" "5245514" "M44600"
"230" "LG21" "5487858" "5487859" "M41377"
"215" "LG21" "5504092" "5504093" "M31771"
"203" "LG21" "5688961" "5688962" "M8961"
"223" "LG21" "6120795" "6120796" "M37179"
"213" "LG21" "6161137" "6161138" "M24869"
"38" "LG21" "6869195" "6869196" "M41441"
"2614" "LG21" "7018480" "7018481" "M18305"
"197" "LG21" "7777528" "7777529" "M37522"
"190" "LG21" "7886680" "7886681" "M29120"
"1981" "LG21" "8364613" "8364614" "M38821"
"383" "LG21" "8623096" "8623097" "M17839"
"3881" "LG21" "8664052" "8664053" "M23961"
"84" "LG22" "43648" "43649" "M36210"
"671" "LG22" "355240" "355241" "M6548"
"69" "LG22" "833100" "833101" "M8904"
"236" "LG22" "1412663" "1412664" "M45201"
"205" "LG22" "1418526" "1418527" "M12726"
"344" "LG22" "2275986" "2275987" "M17315"
"352" "LG22" "2277223" "2277224" "M38996"
"294" "LG24" "646685" "646686" "M8174"
"291" "LG24" "1552112" "1552113" "M2616"
"2311" "LG24" "2482065" "2482066" "M17245"
"57" "LG24" "2560345" "2560346" "M38769"
"56" "LG24" "3068146" "3068147" "M31037"
"6" "LG24" "4119180" "4119181" "M13290"
"114" "LG24" "4292259" "4292260" "M29569"
"1151" "LG24" "5809083" "5809084" "M30292"
"531" "LG25" "304697" "304698" "M27781"
"534" "LG25" "1553416" "1553417" "M38713"
"5291" "LG25" "1978036" "1978037" "M21661"
"535" "LG25" "2064547" "2064548" "M45315"
"527" "LG25" "2867310" "2867311" "M38085"
"522" "LG25" "3008869" "3008870" "M16910"
"519" "LG25" "3279069" "3279070" "M356"
"916" "LG25" "4373529" "4373530" "M23916"
"384" "LG26" "78934" "78935" "M19150"
"362" "LG26" "1543666" "1543667" "M12234"
"376" "LG26" "1556413" "1556414" "M42246"
"370" "LG26" "2187868" "2187869" "M30138"
"127" "LG26" "2452503" "2452504" "M6773"
"354" "LG27" "148217" "148218" "M41971"
"348" "LG27" "685590" "685591" "M33565"
"340" "LG27" "1087148" "1087149" "M2369"
"353" "LG27" "1536933" "1536934" "M40778"
"349" "LG27" "1909678" "1909679" "M37978"
"339" "LG27" "1923480" "1923481" "M1654"
"337" "LG27" "2580364" "2580365" "M1369"
"520" "LG27" "3612351" "3612352" "M9935"
"191" "LG27" "3741986" "3741987" "M31998"
"184" "LG27" "3809448" "3809449" "M15463"
"180" "LG27" "6265144" "6265145" "M10430"
"181" "LG27" "6441183" "6441184" "M11622"
"179" "LG27" "6672117" "6672118" "M10409"
"201" "LG27" "6672203" "6672204" "M44679"
"501" "LG27" "7571871" "7571872" "M40222"
"490" "LG27" "7605986" "7605987" "M9825"
"491" "LG27" "8648929" "8648930" "M15097"
"104" "LG27" "9461184" "9461185" "M40259"
"160" "LG27" "12348177" "12348178" "M37368"
"425" "LG29" "216232" "216233" "M12783"
"432" "LG29" "433066" "433067" "M41586"
"451" "LG29" "1525532" "1525533" "M11969"
"446" "LG29" "1593504" "1593505" "M6388"
"157" "LG30" "524862" "524863" "M30262"
"155" "LG30" "527442" "527443" "M28801"
"288" "LG30" "1118866" "1118867" "M35714"
"278" "LG30" "1139637" "1139638" "M24267"
"282" "LG30" "1172655" "1172656" "M29191"
"2871" "LG30" "1253613" "1253614" "M35239"
"285" "LG30" "1469456" "1469457" "M30905"
"269" "LG30" "1564598" "1564599" "M16678"
"274" "LG30" "1870470" "1870471" "M20443"
"2861" "LG30" "1994630" "1994631" "M33548"
"279" "LG30" "2177032" "2177033" "M25431"
"407" "LG30" "5234239" "5234240" "M24052"
"97" "LG30" "5357896" "5357897" "M28596"
"103" "LG30" "5536743" "5536744" "M36787"
"308" "LG30" "6697347" "6697348" "M32068"
"311" "LG30" "6798821" "6798822" "M36712"
"1171" "LG30" "9645385" "9645386" "M30660"
"447" "LG30" "10858348" "10858349" "M6949"
"452" "LG30" "10858348" "10858349" "M17149"
"453" "LG30" "10858434" "10858435" "M18934"
"815" "LG30" "11997010" "11997011" "M16249"
"273" "LG30" "13134364" "13134365" "M20412"
"283" "LG30" "13947709" "13947710" "M30246"
"268" "LG30" "14006728" "14006729" "M16589"
"276" "LG30" "14421192" "14421193" "M22570"
"170" "LG31" "1003348" "1003349" "M24410"
"171" "LG31" "1007398" "1007399" "M30182"
"159" "LG31" "2125513" "2125514" "M37211"
"156" "LG31" "2204738" "2204739" "M29321"
"143" "LG31" "2357653" "2357654" "M10822"
"1581" "LG31" "3303442" "3303443" "M35812"
"1531" "LG31" "4254924" "4254925" "M25438"
"140" "LG31" "4259940" "4259941" "M56"
"144" "LG31" "4342615" "4342616" "M13973"
"150" "LG31" "4526379" "4526380" "M18510"
"547" "LG31" "6327664" "6327665" "M30039"
"544" "LG31" "6522612" "6522613" "M13504"
"546" "LG31" "6539474" "6539475" "M21672"
"533" "LG31" "8028415" "8028416" "M36173"
"542" "LG31" "8495742" "8495743" "M29935"
"538" "LG31" "9301536" "9301537" "M16827"
"541" "LG31" "9434965" "9434966" "M25250"
"536" "LG31" "10208729" "10208730" "M7863"
"2211" "LG31" "10364366" "10364367" "M36782"
"52" "LG31" "11035424" "11035425" "M20535"
"60" "LG31" "11207336" "11207337" "M44052"
"45" "LG31" "11457855" "11457856" "M3341"
"89" "LG31" "12360518" "12360519" "M13811"
"106" "LG31" "12537683" "12537684" "M44423"
"1023" "LG31" "12670192" "12670193" "M36411"
"99" "LG31" "12708013" "12708014" "M32254"
"98" "LG31" "12754072" "12754073" "M29490"
"100" "LG31" "14186250" "14186251" "M34367"
"105" "LG31" "15096608" "15096609" "M42204"
"87" "LG31" "15264668" "15264669" "M10176"
"16" "LG31" "16291402" "16291403" "M2436"
"133" "LG31" "17591168" "17591169" "M19009"
"3912" "LG31" "18404188" "18404189" "M43468"
"220" "LG31" "19544163" "19544164" "M36640"
"402" "LG32" "159420" "159421" "M4741"
"5071" "LG32" "1015588" "1015589" "M14307"
"518" "LG32" "1228851" "1228852" "M44516"
"512" "LG32" "1233444" "1233445" "M26402"
"391" "LG32" "1858263" "1858264" "M33742"
"398" "LG32" "1973321" "1973322" "M41651"
"314" "LG32" "3278466" "3278467" "M41022"
"300" "LG32" "3308882" "3308883" "M14825"
"306" "LG32" "3529963" "3529964" "M29072"
"304" "LG32" "3596659" "3596660" "M20213"
"951" "LG32" "4875810" "4875811" "M25645"
"92" "LG32" "5192571" "5192572" "M21905"
"151" "LG32" "6628091" "6628092" "M23227"
"1541" "LG32" "7245229" "7245230" "M27216"
"245" "LG32" "13462281" "13462282" "M21364"
"2591" "LG32" "13498955" "13498956" "M42365"
"3012" "LG32" "15602946" "15602947" "M24818"
"34" "LG32" "15848790" "15848791" "M31340"
"14" "LG33" "688026" "688027" "M34432"
"123" "LG33" "2352703" "2352704" "M43114"
"4871" "LG33" "3995322" "3995323" "M5942"
"485" "LG33" "5069914" "5069915" "M1877"
"496" "LG33" "5098600" "5098601" "M31505"
"495" "LG33" "5197593" "5197594" "M27435"
"545" "LG34" "75151" "75152" "M14240"
"543" "LG34" "828685" "828686" "M40771"
"537" "LG34" "900945" "900946" "M13144"
"419" "LG35" "177258" "177259" "M36906"
"4810" "LG35" "1335074" "1335075" "M17738"
"1771" "LG36" "799162" "799163" "M7665"
"2001" "LG36" "871189" "871190" "M43767"
"173" "LG36" "3438296" "3438297" "M38147"
"189" "LG36" "4594380" "4594381" "M19126"
"194" "LG36" "4636556" "4636557" "M34175"
"1781" "LG36" "4762716" "4762717" "M7790"
"186" "LG36" "5256426" "5256427" "M16297"
"176" "LG36" "5947938" "5947939" "M3318"
"1921" "LG36" "6266975" "6266976" "M32168"
"517" "LG36" "7172552" "7172553" "M36638"
"505" "LG36" "8241861" "8241862" "M9037"
"509" "LG36" "8326155" "8326156" "M16865"
"516" "LG36" "8453675" "8453676" "M34673"
"515" "LG36" "9222283" "9222284" "M33254"
"508" "LG36" "9422290" "9422291" "M16162"
"513" "LG36" "9867667" "9867668" "M28738"
"511" "LG36" "10098862" "10098863" "M19064"
"504" "LG36" "10224273" "10224274" "M8487"
"503" "LG36" "10276620" "10276621" "M8239"
"409" "LG37" "381923" "381924" "M25542"
"4101" "LG37" "846427" "846428" "M26544"
"406" "LG37" "1491877" "1491878" "M23673"
"233" "LG37" "2378398" "2378399" "M42368"
"202" "LG37" "2429028" "2429029" "M8676"
"212" "LG37" "2434287" "2434288" "M24178"
"211" "LG37" "3022149" "3022150" "M19866"
"228" "LG37" "3198952" "3198953" "M41004"
"206" "LG37" "3199038" "3199039" "M13443"
"217" "LG37" "3390219" "3390220" "M35034"
"5301" "LG37" "3749878" "3749879" "M27087"
"40" "LG37" "6549153" "6549154" "M43736"
"450" "LG39" "905084" "905085" "M9489"
"449" "LG39" "1106090" "1106091" "M8764"
"445" "LG39" "1424939" "1424940" "M2973"
"454" "LG40" "234962" "234963" "M24697"
"4601" "LG40" "778103" "778104" "M42091"
"76" "LG40" "2090944" "2090945" "M24232"
"64" "LG40" "2941552" "2941553" "M2371"
"83" "LG40" "3348980" "3348981" "M35063"
"77" "LG40" "3482709" "3482710" "M27787"
"6811" "LG40" "3525016" "3525017" "M8074"
"70" "LG40" "4302826" "4302827" "M9295"
"782" "LG40" "4302912" "4302913" "M29750"
"79" "LG40" "4407976" "4407977" "M30105"
"85" "LG40" "4582996" "4582997" "M38062"
"262" "LG40" "4788357" "4788358" "M45528"
"252" "LG40" "5296175" "5296176" "M34378"
"510" "LG40" "6418160" "6418161" "M17867"
"502" "LG40" "6550963" "6550964" "M7787"
"514" "LG40" "6967419" "6967420" "M29650"
"128" "LG40" "8040876" "8040877" "M7136"
"130" "LG40" "8497199" "8497200" "M10697"
"360" "LG40" "10186047" "10186048" "M5194"
"3661" "LG40" "10187767" "10187768" "M23026"
"373" "LG40" "10275899" "10275900" "M38050"
"3" "LG40" "11032164" "11032165" "M3731"
"330" "LG41" "326480" "326481" "M30009"
"325" "LG41" "842231" "842232" "M13891"
"329" "LG41" "842317" "842318" "M25941"
"331" "LG41" "1318419" "1318420" "M33074"
"492" "LG41" "2177278" "2177279" "M15878"
"484" "LG41" "2410571" "2410572" "M405"
"489" "LG41" "2554032" "2554033" "M8835"
"493" "LG41" "2613821" "2613822" "M16938"
"488" "LG41" "2771239" "2771240" "M7659"
"361" "LG41" "3067557" "3067558" "M8624"
"357" "LG41" "3617103" "3617104" "M3513"
"3671" "LG41" "3645756" "3645757" "M26194"
"363" "LG41" "3798193" "3798194" "M14949"
"372" "LG41" "3842254" "3842255" "M35931"
"371" "LG41" "4206831" "4206832" "M33857"
"35" "LG41" "4787680" "4787681" "M38252"
"1810" "LG41" "4869235" "4869236" "M4918"
"2411" "LG41" "5196749" "5196750" "M17701"
"41" "LG41" "5466114" "5466115" "M44492"
"25" "LG41" "5608648" "5608649" "M17784"
"29" "LG41" "5609608" "5609609" "M24499"
"1710" "LG41" "5790871" "5790872" "M4417"
"246" "LG41" "8424289" "8424290" "M21560"
"255" "LG41" "8871302" "8871303" "M38307"
"469" "LG41" "9817928" "9817929" "M11595"
"464" "LG41" "9840266" "9840267" "M2487"
"473" "LG41" "9955635" "9955636" "M19361"
"468" "LG41" "9959581" "9959582" "M10718"
"476" "LG41" "10043283" "10043284" "M27990"
"59" "LG41" "12186166" "12186167" "M39236"
"257" "LG41" "13783178" "13783179" "M39698"
"420" "LG42" "324482" "324483" "M39347"
"412" "LG42" "790895" "790896" "M28183"
"408" "LG42" "2107603" "2107604" "M24851"
"401" "LG42" "2401601" "2401602" "M1665"
"416" "LG42" "3366842" "3366843" "M33590"
"403" "LG42" "3382104" "3382105" "M6764"
"3161" "LG42" "5842742" "5842743" "M41962"
"292" "LG42" "6104299" "6104300" "M3188"
"293" "LG42" "6119055" "6119056" "M3615"
"298" "LG42" "6290517" "6290518" "M11427"
"167" "LG42" "7355668" "7355669" "M15842"
"165" "LG42" "7366016" "7366017" "M11199"
"166" "LG42" "7895961" "7895962" "M12350"
"168" "LG42" "9555492" "9555493" "M17083"
"169" "LG42" "9555578" "9555579" "M21663"
"188" "LG42" "9969904" "9969905" "M18980"
"195" "LG42" "10298098" "10298099" "M34610"
"380" "LG42" "10556194" "10556195" "M11291"
