Chromosome,ChromStart,ChromEnd,Band,Stain
LG2,6393791,6393792,M34333,M34333
LG2,6583738,6583739,M11619,M11619
LG2,6674489,6674490,M9977,M9977
LG2,6867543,6867544,M36906,M36906
LG2,7004735,7004736,M31886,M31886
LG2,7164209,7164210,M35726,M35726
LG2,7308552,7308553,M19695,M19695
LG2,7359751,7359752,M25254,M25254
LG2,7521263,7521264,M39347,M39347
LG2,7619809,7619810,M25542,M25542
LG2,7763003,7763004,M26544,M26544
LG2,7962199,7962200,M5817,M5817
LG2,8113841,8113842,M27607,M27607
LG2,8401549,8401550,M35063,M35063
LG2,8605405,8605406,M35996,M35996
LG2,8801499,8801500,M16342,M16342
LG2,9062446,9062447,M34424,M34424
LG2,9258532,9258533,M39302,M39302
LG2,10973700,10973701,M27118,M27118
LG2,11238798,11238799,M33445,M33445
LG2,11420319,11420320,M17348,M17348
LG2,11555332,11555333,M11493,M11493
LG2,11729373,11729374,M20269,M20269
LG2,11960670,11960671,M38590,M38590
LG2,12087247,12087248,M45812,M45812
LG2,12252049,12252050,M24818,M24818
LG2,12687438,12687439,M30552,M30552
LG2,13190765,13190766,M31340,M31340
LG2,13857259,13857260,M28243,M28243
LG2,13934603,13934604,M40148,M40148
LG2,14045789,14045790,M7287,M7287
LG2,14364821,14364822,M5841,M5841
LG2,14549046,14549047,M22841,M22841
LG2,14814231,14814232,M29582,M29582
LG2,15127298,15127299,M18462,M18462
LG2,15269091,15269092,M36258,M36258
LG3,0,1,M26402,M26402
LG3,100992,100993,M44516,M44516
LG3,520350,520351,M8862,M8862
LG3,969104,969105,M40399,M40399
LG3,1138893,1138894,M25645,M25645
LG3,1272148,1272149,M27957,M27957
LG3,1378502,1378503,M28387,M28387
LG3,1614324,1614325,M34455,M34455
LG3,1986916,1986917,M14307,M14307
LG3,2456723,2456724,M19432,M19432
LG3,2850146,2850147,M34733,M34733
LG3,3273554,3273555,M38457,M38457
LG3,3593820,3593821,M71,M71
LG3,3796244,3796245,M44509,M44509
LG3,3903289,3903290,M1526,M1526
LG3,4062748,4062749,M13010,M13010
LG3,4236769,4236770,M23846,M23846
LG3,4376882,4376883,M8377,M8377
LG3,4508599,4508600,M10253,M10253
LG3,4888510,4888511,M44423,M44423
LG3,5015402,5015403,M13811,M13811
LG3,5165845,5165846,M43900,M43900
LG3,5537312,5537313,M18340,M18340
LG3,5606930,5606931,M36284,M36284
LG3,5681687,5681688,M28227,M28227
LG3,5775861,5775862,M14449,M14449
LG3,5980083,5980084,M4272,M4272
LG3,6247025,6247026,M38822,M38822
LG3,6505549,6505550,M1678,M1678
LG3,6661241,6661242,M35419,M35419
LG3,6779069,6779070,M37010,M37010
LG3,6916372,6916373,M30290,M30290
LG3,7124150,7124151,M20024,M20024
LG3,7389673,7389674,M32321,M32321
LG3,7908379,7908380,M37256,M37256
LG3,8140542,8140543,M539,M539
LG3,8234471,8234472,M7255,M7255
LG3,8721207,8721208,M38059,M38059
LG3,8946583,8946584,M30737,M30737
LG3,9165140,9165141,M977,M977
LG3,9318910,9318911,M41742,M41742
LG3,9553958,9553959,M29975,M29975
LG3,9900308,9900309,M12783,M12783
LG3,10072349,10072350,M7777,M7777
LG3,10771864,10771865,M9306,M9306
LG3,10869731,10869732,M23455,M23455
LG3,11043543,11043544,M37121,M37121
LG3,11451264,11451265,M25481,M25481
LG3,11771914,11771915,M42819,M42819
LG3,12056222,12056223,M21584,M21584
LG3,12283252,12283253,M21810,M21810
LG3,12753495,12753496,M9938,M9938
LG3,12832224,12832225,M36219,M36219
LG3,12888405,12888406,M27519,M27519
LG3,13052286,13052287,M36116,M36116
LG3,13203001,13203002,M4904,M4904
LG3,13292807,13292808,M14628,M14628
LG3,13522378,13522379,M7006,M7006
LG3,13727057,13727058,M35059,M35059
LG3,13843427,13843428,M24869,M24869
LG3,14248674,14248675,M8961,M8961
LG3,14646221,14646222,M41377,M41377
LG3,14843396,14843397,M31771,M31771
LG3,14973815,14973816,M19669,M19669
LG3,15321851,15321852,M44600,M44600
LG3,15474190,15474191,M18637,M18637
LG3,15570444,15570445,M41939,M41939
LG3,15694289,15694290,M26180,M26180
LG3,15783758,15783759,M31723,M31723
LG3,15917063,15917064,M9422,M9422
LG3,15978665,15978666,M41238,M41238
LG3,16104152,16104153,M30688,M30688
LG3,16291819,16291820,M16299,M16299
LG3,16940031,16940032,M38826,M38826
LG3,17312230,17312231,M43602,M43602
LG3,17462620,17462621,M36991,M36991
LG3,17762108,17762109,M9741,M9741
LG3,18173950,18173951,M42333,M42333
LG3,18343907,18343908,M44931,M44931
LG3,18404104,18404105,M12726,M12726
LG3,18564495,18564496,M5064,M5064
LG3,18639693,18639694,M36328,M36328
LG3,18982892,18982893,M45201,M45201
LG3,19241573,19241574,M23366,M23366
LG4,0,1,M29569,M29569
LG4,424881,424882,M4070,M4070
LG4,895081,895082,M29776,M29776
LG4,1118874,1118875,M22733,M22733
LG4,1395638,1395639,M27506,M27506
LG4,1604124,1604125,M41370,M41370
LG4,1880502,1880503,M4638,M4638
LG4,2247564,2247565,M32158,M32158
LG4,2433309,2433310,M15695,M15695
LG4,2665448,2665449,M32904,M32904
LG4,3184666,3184667,M11333,M11333
LG4,3327822,3327823,M8174,M8174
LG4,3630678,3630679,M5129,M5129
LG4,3992347,3992348,M2616,M2616
LG4,4341196,4341197,M25143,M25143
LG4,4693870,4693871,M41962,M41962
LG4,5348771,5348772,M23673,M23673
LG4,5683646,5683647,M45654,M45654
LG4,5926870,5926871,M23408,M23408
LG4,6253936,6253937,M15777,M15777
LG4,6672962,6672963,M18303,M18303
LG4,6766455,6766456,M17867,M17867
LG4,6892102,6892103,M7787,M7787
LG4,7096113,7096114,M21828,M21828
LG4,7236215,7236216,M28315,M28315
LG4,7468634,7468635,M29650,M29650
LG4,7911878,7911879,M248,M248
LG4,8304823,8304824,M33864,M33864
LG4,8402424,8402425,M36638,M36638
LG4,9285392,9285393,M9037,M9037
LG4,9578736,9578737,M37011,M37011
LG4,9722717,9722718,M31693,M31693
LG4,9808893,9808894,M34673,M34673
LG4,10184886,10184887,M38998,M38998
LG4,10317609,10317610,M205,M205
LG4,10515549,10515550,M6391,M6391
LG5,0,1,M3731,M3731
LG5,120976,120977,M16865,M16865
LG5,446846,446847,M10052,M10052
LG5,583069,583070,M26054,M26054
LG5,922227,922228,M43297,M43297
LG5,1054356,1054357,M8015,M8015
LG5,1560536,1560537,M13290,M13290
LG5,1830969,1830970,M19190,M19190
LG5,1962919,1962920,M44648,M44648
LG5,2040230,2040231,M9836,M9836
LG5,2328015,2328016,M26076,M26076
LG5,2846400,2846401,M30914,M30914
LG5,3069728,3069729,M41086,M41086
LG5,3174422,3174423,M27611,M27611
LG5,3345727,3345728,M28951,M28951
LG5,3451591,3451592,M40497,M40497
LG5,4134763,4134764,M28953,M28953
LG5,4565594,4565595,M41355,M41355
LG5,4755256,4755257,M18902,M18902
LG5,4928442,4928443,M41686,M41686
LG5,5307758,5307759,M29031,M29031
LG5,5766017,5766018,M2517,M2517
LG5,6084721,6084722,M1492,M1492
LG5,6464965,6464966,M19901,M19901
LG5,6551288,6551289,M40063,M40063
LG5,6910845,6910846,M26011,M26011
LG5,7282810,7282811,M19966,M19966
LG5,7808590,7808591,M33353,M33353
LG5,7896719,7896720,M3341,M3341
LG5,8084381,8084382,M25109,M25109
LG5,8394854,8394855,M44052,M44052
LG5,8770829,8770830,M20535,M20535
LG5,9271231,9271232,M27007,M27007
LG5,9370014,9370015,M31037,M31037
LG5,9645276,9645277,M232,M232
LG5,9905266,9905267,M44056,M44056
LG5,10086554,10086555,M3651,M3651
LG5,10144102,10144103,M38769,M38769
LG5,10293844,10293845,M33633,M33633
LG5,10384237,10384238,M1394,M1394
LG6,0,1,M10697,M10697
LG6,157039,157040,M7136,M7136
LG6,373575,373576,M45532,M45532
LG6,662938,662939,M37257,M37257
LG6,1610351,1610352,M6468,M6468
LG6,1722512,1722513,M22466,M22466
LG6,2487075,2487076,M8973,M8973
LG6,2773777,2773778,M24161,M24161
LG6,3413457,3413458,M27950,M27950
LG6,3518765,3518766,M19705,M19705
LG6,3634897,3634898,M5892,M5892
LG6,3784897,3784898,M16579,M16579
LG6,3884921,3884922,M354,M354
LG6,4221864,4221865,M24840,M24840
LG6,4292252,4292253,M19930,M19930
LG6,4545033,4545034,M16484,M16484
LG6,4700358,4700359,M32980,M32980
LG6,4822980,4822981,M1664,M1664
LG6,5326011,5326012,M30558,M30558
LG6,5484747,5484748,M22287,M22287
LG6,6527514,6527515,M21485,M21485
LG6,6614828,6614829,M17439,M17439
LG6,6717542,6717543,M42611,M42611
LG6,6801512,6801513,M9060,M9060
LG6,7056493,7056494,M42992,M42992
LG6,7256667,7256668,M23315,M23315
LG6,7465960,7465961,M1091,M1091
LG6,7563568,7563569,M3997,M3997
LG6,7668184,7668185,M3103,M3103
LG6,7772887,7772888,M10167,M10167
LG6,7865867,7865868,M40663,M40663
LG6,7950618,7950619,M37857,M37857
LG6,8035188,8035189,M37276,M37276
LG6,8221926,8221927,M29942,M29942
LG6,8313721,8313722,M36727,M36727
LG6,8471085,8471086,M13299,M13299
LG6,8646895,8646896,M2477,M2477
LG6,8795263,8795264,M6699,M6699
LG6,8980922,8980923,M23535,M23535
LG6,9415476,9415477,M26884,M26884
LG6,9528252,9528253,M8373,M8373
LG6,9680501,9680502,M35654,M35654
LG6,10015764,10015765,M4260,M4260
LG6,10294124,10294125,M17222,M17222
LG6,10535507,10535508,M26344,M26344
LG6,10885121,10885122,M18993,M18993
LG6,11007689,11007690,M14997,M14997
LG6,11309902,11309903,M17937,M17937
LG6,11496268,11496269,M34114,M34114
LG6,11671500,11671501,M37873,M37873
LG6,11787846,11787847,M10050,M10050
LG6,11852143,11852144,M27834,M27834
LG6,11931922,11931923,M14139,M14139
LG6,12077811,12077812,M20998,M20998
LG6,12253637,12253638,M9225,M9225
LG6,12672949,12672950,M40697,M40697
LG6,12956440,12956441,M37012,M37012
LG6,13037657,13037658,M15173,M15173
LG6,13609476,13609477,M24940,M24940
LG6,13729474,13729475,M661,M661
LG6,13925340,13925341,M4220,M4220
LG6,14058802,14058803,M39105,M39105
LG6,14646308,14646309,M15617,M15617
LG6,14890389,14890390,M30995,M30995
LG6,15401334,15401335,M40054,M40054
LG7,0,1,M13430,M13430
LG7,802301,802302,M33377,M33377
LG7,1225399,1225400,M21689,M21689
LG7,1277100,1277101,M34534,M34534
LG7,1464305,1464306,M356,M356
LG7,2260921,2260922,M16910,M16910
LG7,2371665,2371666,M9860,M9860
LG7,2654094,2654095,M38085,M38085
LG7,3081777,3081778,M13357,M13357
LG7,3412595,3412596,M39236,M39236
LG7,4195205,4195206,M8689,M8689
LG7,4551092,4551093,M18614,M18614
LG7,4827726,4827727,M15870,M15870
LG7,4962411,4962412,M8167,M8167
LG7,5433167,5433168,M19150,M19150
LG7,5772658,5772659,M41461,M41461
LG7,6381108,6381109,M23961,M23961
LG7,6483841,6483842,M17839,M17839
LG7,6744682,6744683,M21075,M21075
LG7,7581204,7581205,M5009,M5009
LG7,8114722,8114723,M11291,M11291
LG7,8234115,8234116,M24909,M24909
LG7,8958964,8958965,M14965,M14965
LG7,9220802,9220803,M33742,M33742
LG7,9580270,9580271,M3322,M3322
LG7,10221551,10221552,M30057,M30057
LG7,10404792,10404793,M23570,M23570
LG7,10549407,10549408,M37934,M37934
LG7,10867018,10867019,M38875,M38875
LG7,10999946,10999947,M16884,M16884
LG7,11099182,11099183,M7648,M7648
LG8,0,1,M15097,M15097
LG8,538511,538512,M4099,M4099
LG8,754916,754917,M4080,M4080
LG8,1351140,1351141,M6178,M6178
LG8,1476147,1476148,M2981,M2981
LG8,1886800,1886801,M13337,M13337
LG8,1977252,1977253,M30077,M30077
LG8,2066467,2066468,M15878,M15878
LG8,2512447,2512448,M19583,M19583
LG8,2777382,2777383,M405,M405
LG8,3103365,3103366,M27410,M27410
LG8,3291260,3291261,M8835,M8835
LG8,3463168,3463169,M16938,M16938
LG8,3702355,3702356,M18642,M18642
LG8,3943237,3943238,M7659,M7659
LG8,4250899,4250900,M11060,M11060
LG8,4590083,4590084,M26501,M26501
LG8,4764980,4764981,M5942,M5942
LG8,5482560,5482561,M13234,M13234
LG8,5987898,5987899,M1877,M1877
LG8,6086459,6086460,M31505,M31505
LG8,6473559,6473560,M27435,M27435
LG8,7108256,7108257,M2760,M2760
LG9,0,1,M31280,M31280
LG9,155570,155571,M11130,M11130
LG9,310640,310641,M28073,M28073
LG9,462067,462068,M19009,M19009
LG9,576961,576962,M13006,M13006
LG9,1252156,1252157,M32623,M32623
LG9,1387276,1387277,M16824,M16824
LG9,1581034,1581035,M6773,M6773
LG9,1677420,1677421,M38876,M38876
LG9,1818665,1818666,M44765,M44765
LG9,1961932,1961933,M12538,M12538
LG9,2277427,2277428,M5437,M5437
LG9,2473414,2473415,M437,M437
LG9,2833630,2833631,M39707,M39707
LG9,2965548,2965549,M34829,M34829
LG9,3053854,3053855,M471,M471
LG9,3298870,3298871,M15447,M15447
LG9,3817287,3817288,M33106,M33106
LG9,3986175,3986176,M16622,M16622
LG9,4137496,4137497,M15803,M15803
LG9,4287731,4287732,M36006,M36006
LG9,4487558,4487559,M3541,M3541
LG9,4614027,4614028,M12072,M12072
LG9,4770672,4770673,M43025,M43025
LG9,5447940,5447941,M34203,M34203
LG9,5584806,5584807,M44272,M44272
LG9,5736038,5736039,M13376,M13376
LG9,6114109,6114110,M948,M948
LG9,6627040,6627041,M30472,M30472
LG9,6791502,6791503,M26487,M26487
LG9,7004595,7004596,M26815,M26815
LG9,7337824,7337825,M34279,M34279
LG9,7691975,7691976,M44329,M44329
LG9,8114873,8114874,M4025,M4025
LG9,8447714,8447715,M12296,M12296
LG9,9080101,9080102,M14577,M14577
LG9,9213838,9213839,M3540,M3540
LG9,9428328,9428329,M18979,M18979
LG9,9736214,9736215,M18986,M18986
LG9,10092673,10092674,M22965,M22965
LG9,10391789,10391790,M12067,M12067
LG9,10702401,10702402,M42519,M42519
LG9,10819512,10819513,M4153,M4153
LG9,11061949,11061950,M40655,M40655
LG9,11332406,11332407,M40173,M40173
LG9,11751454,11751455,M21398,M21398
LG9,12195626,12195627,M43779,M43779
LG9,12310206,12310207,M18489,M18489
LG9,12793243,12793244,M25747,M25747
LG9,12928852,12928853,M32351,M32351
LG10,0,1,M5302,M5302
LG10,217016,217017,M20174,M20174
LG10,297033,297034,M10506,M10506
LG10,445866,445867,M7725,M7725
LG10,684047,684048,M11357,M11357
LG10,1027655,1027656,M7948,M7948
LG10,1308067,1308068,M2593,M2593
LG10,1766403,1766404,M31397,M31397
LG10,1910446,1910447,M33241,M33241
LG10,2874227,2874228,M44448,M44448
LG10,3076203,3076204,M34432,M34432
LG10,3180545,3180546,M16941,M16941
LG10,3643891,3643892,M41201,M41201
LG10,4375424,4375425,M5031,M5031
LG10,5419386,5419387,M45557,M45557
LG10,5581170,5581171,M12623,M12623
LG10,5736581,5736582,M20842,M20842
LG10,5970890,5970891,M2478,M2478
LG10,6166891,6166892,M18056,M18056
LG10,6525838,6525839,M29642,M29642
LG10,6732150,6732151,M41225,M41225
LG10,6836482,6836483,M31488,M31488
LG10,7018594,7018595,M9018,M9018
LG10,7444797,7444798,M27024,M27024
LG10,7595644,7595645,M19553,M19553
LG10,7767583,7767584,M10659,M10659
LG10,7993404,7993405,M40424,M40424
LG10,8337832,8337833,M32042,M32042
LG10,8469516,8469517,M494,M494
LG10,8582925,8582926,M20991,M20991
LG10,8761602,8761603,M25921,M25921
LG10,8841494,8841495,M34181,M34181
LG10,9097028,9097029,M11170,M11170
LG10,9800172,9800173,M37808,M37808
LG10,9927717,9927718,M968,M968
LG10,10069311,10069312,M16141,M16141
LG11,0,1,M2599,M2599
LG11,139318,139319,M38978,M38978
LG11,257866,257867,M12957,M12957
LG11,335552,335553,M37056,M37056
LG11,517364,517365,M43339,M43339
LG11,728958,728959,M44471,M44471
LG11,863667,863668,M3957,M3957
LG11,1209748,1209749,M13499,M13499
LG11,1362661,1362662,M3043,M3043
LG11,1515495,1515496,M27990,M27990
LG11,1703761,1703762,M1436,M1436
LG11,2046221,2046222,M10718,M10718
LG11,2172808,2172809,M19361,M19361
LG11,2471225,2471226,M11595,M11595
LG11,2755809,2755810,M43982,M43982
LG11,3142754,3142755,M2487,M2487
LG11,3287091,3287092,M551,M551
LG11,3500545,3500546,M22078,M22078
LG11,3647552,3647553,M29723,M29723
LG11,4261161,4261162,M11428,M11428
LG11,4663580,4663581,M20628,M20628
LG11,4809514,4809515,M44084,M44084
LG11,5030497,5030498,M28000,M28000
LG11,5255381,5255382,M21320,M21320
LG11,6479899,6479900,M21079,M21079
LG11,7088632,7088633,M39924,M39924
LG11,7327119,7327120,M9179,M9179
LG11,7486950,7486951,M2585,M2585
LG11,7703077,7703078,M36419,M36419
LG11,7811322,7811323,M12866,M12866
LG11,7977948,7977949,M31268,M31268
LG11,8206734,8206735,M25623,M25623
LG11,8498172,8498173,M35269,M35269
LG11,8786733,8786734,M19027,M19027
LG11,9064028,9064029,M13623,M13623
LG11,9311465,9311466,M18401,M18401
LG11,9456699,9456700,M22570,M22570
LG11,9875367,9875368,M5474,M5474
LG11,10390750,10390751,M40014,M40014
LG11,10582192,10582193,M14027,M14027
LG11,10647276,10647277,M16589,M16589
LG11,10782174,10782175,M30246,M30246
LG11,11264195,11264196,M28459,M28459
LG11,11331109,11331110,M36783,M36783
LG11,12014383,12014384,M32676,M32676
LG11,12222411,12222412,M27888,M27888
LG11,12378645,12378646,M39789,M39789
LG11,13108843,13108844,M11715,M11715
LG11,13370017,13370018,M18888,M18888
LG11,13678174,13678175,M45219,M45219
LG11,13929418,13929419,M29833,M29833
LG12,0,1,M15644,M15644
LG12,166251,166252,M39401,M39401
LG12,422966,422967,M1684,M1684
LG12,809378,809379,M22567,M22567
LG12,1433180,1433181,M14356,M14356
LG12,1805718,1805719,M11771,M11771
LG12,1967939,1967940,M29602,M29602
LG12,2689768,2689769,M28485,M28485
LG12,3033613,3033614,M5354,M5354
LG12,3832496,3832497,M29349,M29349
LG12,4006493,4006494,M10332,M10332
LG12,4169361,4169362,M25308,M25308
LG12,4233953,4233954,M32970,M32970
LG12,4375102,4375103,M12549,M12549
LG12,4608660,4608661,M31732,M31732
LG12,5124627,5124628,M36232,M36232
LG12,5239667,5239668,M10207,M10207
LG12,5344824,5344825,M16373,M16373
LG12,5748539,5748540,M41555,M41555
LG12,5974457,5974458,M40114,M40114
LG12,6104154,6104155,M21672,M21672
LG12,6209928,6209929,M13504,M13504
LG12,6375439,6375440,M30039,M30039
LG12,6723121,6723122,M14240,M14240
LG12,6962984,6962985,M6764,M6764
LG12,7149161,7149162,M19647,M19647
LG12,7271866,7271867,M33590,M33590
LG12,7408012,7408013,M45702,M45702
LG12,7543287,7543288,M37584,M37584
LG12,7831661,7831662,M10119,M10119
LG12,8172578,8172579,M33328,M33328
LG12,8526494,8526495,M1665,M1665
LG12,8711900,8711901,M37747,M37747
LG12,8817046,8817047,M45348,M45348
LG12,8938663,8938664,M34607,M34607
LG12,9093698,9093699,M3536,M3536
LG12,9413008,9413009,M38872,M38872
LG12,9563039,9563040,M3442,M3442
LG12,9649010,9649011,M4687,M4687
LG12,9914960,9914961,M19969,M19969
LG12,10160623,10160624,M38333,M38333
LG12,10335821,10335822,M24851,M24851
LG12,10925486,10925487,M552,M552
LG12,11144702,11144703,M45086,M45086
LG12,11283085,11283086,M19866,M19866
LG12,11653160,11653161,M43310,M43310
LG12,11775780,11775781,M7790,M7790
LG12,12025452,12025453,M11929,M11929
LG12,12456169,12456170,M26466,M26466
LG12,13073082,13073083,M32615,M32615
LG12,13508538,13508539,M33507,M33507
LG12,13694131,13694132,M34557,M34557
LG12,13910797,13910798,M28183,M28183
LG13,0,1,M34343,M34343
LG13,421814,421815,M4002,M4002
LG13,750666,750667,M40649,M40649
LG13,1104331,1104332,M14664,M14664
LG13,1423078,1423079,M12512,M12512
LG13,1664837,1664838,M37837,M37837
LG13,1779995,1779996,M23134,M23134
LG13,1848398,1848399,M13825,M13825
LG13,2173644,2173645,M6635,M6635
LG13,2858383,2858384,M12129,M12129
LG13,3015089,3015090,M34363,M34363
LG13,3799518,3799519,M679,M679
LG13,3936278,3936279,M17048,M17048
LG13,4176567,4176568,M7990,M7990
LG13,4394860,4394861,M11723,M11723
LG13,4689090,4689091,M1708,M1708
LG13,5336422,5336423,M32423,M32423
LG13,6001986,6001987,M10644,M10644
LG13,6165474,6165475,M1227,M1227
LG13,6295036,6295037,M3438,M3438
LG13,6413142,6413143,M20566,M20566
LG13,6543697,6543698,M16467,M16467
LG13,6661728,6661729,M17240,M17240
LG13,6705890,6705891,M38081,M38081
LG13,6772402,6772403,M19439,M19439
LG13,6798278,6798279,M41274,M41274
LG13,7399027,7399028,M21812,M21812
LG13,7489287,7489288,M42682,M42682
LG14,0,1,M6403,M6403
LG14,304935,304936,M4917,M4917
LG14,614539,614540,M29191,M29191
LG14,692547,692548,M35714,M35714
LG14,778826,778827,M44219,M44219
LG14,1149704,1149705,M23881,M23881
LG14,1254043,1254044,M30291,M30291
LG14,1315832,1315833,M25977,M25977
LG14,1375832,1375833,M822,M822
LG14,1511201,1511202,M8519,M8519
LG14,2250498,2250499,M29123,M29123
LG14,2443815,2443816,M2519,M2519
LG14,2759403,2759404,M34356,M34356
LG14,3711229,3711230,M28790,M28790
LG14,4110319,4110320,M41749,M41749
LG14,4272175,4272176,M16495,M16495
LG14,4524444,4524445,M17738,M17738
LG14,5162259,5162260,M41250,M41250
LG14,5261991,5261992,M3759,M3759
LG14,5383755,5383756,M28319,M28319
LG14,5543125,5543126,M40427,M40427
LG14,5739796,5739797,M15592,M15592
LG14,6342978,6342979,M10732,M10732
LG14,6779671,6779672,M41457,M41457
LG14,6967117,6967118,M42671,M42671
LG14,7322452,7322453,M18248,M18248
LG14,7690473,7690474,M17076,M17076
LG14,7976957,7976958,M684,M684
LG14,8680874,8680875,M23190,M23190
LG14,8963515,8963516,M949,M949
LG14,9178237,9178238,M45094,M45094
LG14,9668164,9668165,M45383,M45383
LG14,10360365,10360366,M41022,M41022
LG14,10530991,10530992,M14825,M14825
LG14,10738241,10738242,M8717,M8717
LG14,10923869,10923870,M29072,M29072
LG14,11066671,11066672,M30669,M30669
LG14,11252017,11252018,M20213,M20213
LG14,11699042,11699043,M39575,M39575
LG14,11768549,11768550,M39325,M39325
LG14,11861571,11861572,M2589,M2589
LG14,11923183,11923184,M36778,M36778
LG15,0,1,M34638,M34638
LG15,431640,431641,M26490,M26490
LG15,594202,594203,M18960,M18960
LG15,830552,830553,M26106,M26106
LG15,1443553,1443554,M7381,M7381
LG15,1521527,1521528,M39771,M39771
LG15,2445235,2445236,M30490,M30490
LG15,2741029,2741030,M45375,M45375
LG15,3504546,3504547,M23061,M23061
LG15,3688166,3688167,M18237,M18237
LG15,3918473,3918474,M1377,M1377
LG15,4072580,4072581,M2636,M2636
LG15,4125350,4125351,M18318,M18318
LG15,4321074,4321075,M22905,M22905
LG15,5240468,5240469,M1321,M1321
LG15,5509811,5509812,M30940,M30940
LG15,5723039,5723040,M29286,M29286
LG15,5785330,5785331,M16827,M16827
LG15,5881902,5881903,M25250,M25250
LG15,6184014,6184015,M33696,M33696
LG15,6282359,6282360,M29935,M29935
LG15,6426010,6426011,M7863,M7863
LG15,6757042,6757043,M37104,M37104
LG15,6911810,6911811,M36640,M36640
LG15,7107724,7107725,M13144,M13144
LG15,7253508,7253509,M1055,M1055
LG15,7411702,7411703,M40771,M40771
LG15,7584938,7584939,M18523,M18523
LG15,7912003,7912004,M26901,M26901
LG15,8196291,8196292,M1843,M1843
LG15,8655576,8655577,M16856,M16856
LG15,8784712,8784713,M18683,M18683
LG15,10035366,10035367,M31646,M31646
LG15,10231109,10231110,M38919,M38919
LG15,10449715,10449716,M24513,M24513
LG15,11161800,11161801,M37202,M37202
LG15,11311586,11311587,M40912,M40912
LG15,11914416,11914417,M22157,M22157
LG15,12385380,12385381,M12758,M12758
LG15,12706346,12706347,M45753,M45753
LG15,12931085,12931086,M33519,M33519
LG15,13114404,13114405,M15568,M15568
LG15,13397578,13397579,M30105,M30105
LG15,13533903,13533904,M6892,M6892
LG15,13592645,13592646,M696,M696
LG15,13772767,13772768,M34075,M34075
LG16,0,1,M38130,M38130
LG16,162251,162252,M741,M741
LG16,616115,616116,M9482,M9482
LG16,816901,816902,M1425,M1425
LG16,1164866,1164867,M12647,M12647
LG16,1677277,1677278,M24947,M24947
LG16,1835009,1835010,M1130,M1130
LG16,2184154,2184155,M12780,M12780
LG16,2632548,2632549,M38263,M38263
LG16,2781992,2781993,M7270,M7270
LG16,3625556,3625557,M4499,M4499
LG16,3702815,3702816,M1369,M1369
LG16,3880175,3880176,M11704,M11704
LG16,4206952,4206953,M37978,M37978
LG16,4257122,4257123,M1654,M1654
LG16,4689952,4689953,M20182,M20182
LG16,4739360,4739361,M40778,M40778
LG16,4926541,4926542,M26016,M26016
LG16,5005931,5005932,M29893,M29893
LG16,5097341,5097342,M2369,M2369
LG16,5158668,5158669,M13810,M13810
LG16,5341069,5341070,M33565,M33565
